"Bucket label","RT","m/z","Name","Formula","IH_Met_Vial12_BLANK01_12_1_11301","IH_Met_Vial57_027_57_1_11328","IH_Met_Vial58_028_58_1_11329","IH_Met_Vial59_029_59_1_11330","IH_Met_Vial60_030_60_1_11331","IH_Met_Vial43_031_43_1_11332","IH_Met_Vial44_032_44_1_11333","IH_Met_Vial45_033_45_1_11334","IH_Met_Vial46_034_46_1_11335","IH_Met_Vial47_035_47_1_11336","IH_Met_Vial48_036_48_1_11337","IH_Met_Vial31_037_31_1_11338","IH_Met_Vial32_038_32_1_11339","IH_Met_Vial33_039_33_1_11340","IH_Met_Vial34_040_34_1_11341","IH_Met_Vial35_041_35_1_11342","IH_Met_Vial36_042_36_1_11343","IH_Met_Vial19_043_19_1_11344","IH_Met_Vial20_044_20_1_11345","IH_Met_Vial21_045_21_1_11346","IH_Met_Vial22_046_22_1_11347","IH_Met_Vial23_047_23_1_11348","IH_Met_Vial24_048_24_1_11349","IH_Met_Vial7_049_7_1_11350","IH_Met_Vial8_050_8_1_11351","IH_Met_Vial9_051_9_1_11352","IH_Met_Vial10_052_10_1_11353","IH_Met_Vial12_BLANK02_12_1_11354"
"Sample",,,,,"BLANK","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","CTRL","CTRL","BLANK"
"634.27965 Da 901.53 s",15.03,318.14710,,,0.0,4587.39306640625,3231.743896484375,0.0,3806.972412109375,0.0,0.0,3135.551513671875,0.0,3461.86962890625,5042.46630859375,4655.1923828125,0.0,0.0,4072.310302734375,4188.35693359375,3985.7548828125,0.0,0.0,4973.5341796875,0.0,0.0,0.0,2914.97265625,0.0,0.0,0.0,0.0
"651.30320 Da 901.66 s",15.03,326.65888,,,0.0,2493.736083984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.322998046875,0.0,2840.079833984375,0.0,0.0,3738.374267578125,0.0,0.0,3240.741455078125,0.0,0.0,0.0,2858.259033203125,0.0,0.0,0.0,0.0,0.0
"656.25566 Da 901.82 s",15.03,329.13511,,,0.0,0.0,3560.59912109375,0.0,4059.44384765625,4465.98828125,0.0,0.0,0.0,0.0,3702.89306640625,3434.95947265625,0.0,5232.35693359375,0.0,3589.539306640625,0.0,4021.1494140625,3522.01708984375,0.0,0.0,3879.0146484375,3941.89990234375,3966.849609375,0.0,0.0,0.0,0.0
"656.38953 Da 902.12 s",15.04,329.20204,,,437.75726318359375,0.0,0.0,3975.21533203125,0.0,0.0,4078.783935546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5638.8037109375,0.0,0.0,0.0,5088.970703125,0.0,0.0,0.0
"421.21890 Da 902.13 s",15.04,422.22618,,,0.0,5970.51953125,0.0,0.0,0.0,0.0,0.0,0.0,5733.271484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4739.3515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"634.41012 Da 902.13 s",15.04,318.21234,,,0.0,0.0,0.0,4570.74462890625,0.0,0.0,3511.47998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4717.09033203125,0.0,0.0,0.0,0.0,0.0,3429.1572265625,0.0
"339.33371 Da 902.30 s",15.04,340.34099,,,0.0,3487.0927734375,3649.22998046875,0.0,4245.62841796875,3387.368408203125,0.0,6052.52294921875,3413.958984375,4196.19873046875,3604.299560546875,2801.043701171875,3191.559814453125,4888.1005859375,5332.5673828125,4124.4609375,3444.3818359375,3172.42431640625,3036.04638671875,3424.589111328125,0.0,3228.154052734375,4111.39208984375,2499.24072265625,0.0,0.0,0.0,2626.00634765625
"780.51933 Da 902.60 s",15.04,781.52661,,,4010.642822265625,0.0,0.0,3000.882568359375,0.0,0.0,3785.51220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4266.57568359375,0.0,0.0,0.0,4984.75048828125,4797.82568359375,3496.852783203125,0.0
"421.29291 Da 902.28 s",15.04,422.30018,,,0.0,0.0,0.0,2171.5205078125,0.0,0.0,7330.4384765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5826.00244140625,0.0,0.0,0.0,0.0,5157.4228515625,4931.82763671875,0.0
"317.20515 Da 902.67 s",15.04,318.21243,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.673095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5534.10595703125,4569.62548828125,0.0,0.0
"281.28953 Da 903.51 s",15.06,282.29680,,,0.0,0.0,0.0,5025.11572265625,0.0,0.0,6264.29345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7553.21044921875,0.0,0.0,0.0,12325.2578125,7484.36962890625,7623.1455078125,0.0
