Sample Group,228.2087_17.15,134.0215_10.95,118.0269_9.9,279.1823_16.05,129.0423_7.28,201.1728_11.48,350.2571_16.89,594.4356_16.92,160.0733_6.95,267.2205_16.47,730.5701_16.66,511.3932_16.89,414.2963_16.9,537.4088_16.98,565.4352_17.0,317.1575_8.33,131.0943_2.46,296.1453_10.39,437.393_16.76,205.9968_15.37,147.9729_8.32,778.6368_16.71,763.5744_16.44,286.2248_11.86,487.4463_16.84,748.5634_16.48,334.1822_15.64,163.9382_8.33,109.0827_16.36,466.4095_16.53,395.2253_8.31,157.0853_16.32,165.0781_4.88,236.0098_13.16,333.9794_15.7,415.196_11.03
GAL | AMN,0.05249720378693947,-0.8168596740603584,-0.5966063234141222,0.8144952326021753,-0.2023029400060486,-0.23628204347375337,-0.03581498405755406,0.937204789444546,0.930819885069949,1.0014037144484902,-0.3825947340927786,1.8943795387599887,2.8622365894114514,-0.22027654498289997,1.340579101580205,0.7505133750045355,-0.4692019924037378,1.0679233752405417,-1.134462683554189,0.6156936931330703,1.5682508516590936,2.3436854176292976,0.08033287351786667,1.2190164303155087,-0.03524480335640231,1.9265158222106906,0.6326031754898139,1.651258143896415,0.4178087477432661,0.5230556860166382,1.1624973371045357,0.9890510933702191,-0.5310084439543327,-1.5913560723327878,3.1530005240198653,1.5805995850616374
GAL | ASP,-1.7637647837355408,2.6953106598896923,-0.412432563372917,0.5014135524251324,-0.5467321527913593,0.025715005072911037,-1.3379522735094402,0.9995443884524814,1.3651784270782525,0.5975272264906563,-0.10881805404051352,1.4990865114780634,2.7814553333071665,-0.37027890724268187,0.6789596613323988,0.37624127685145553,-0.13315040995256325,0.8170945605983757,-0.37430277890824154,0.9921694218994478,1.110859607282445,2.292619955891769,1.497177789846969,1.5018609308113688,0.7600218067578082,2.633087604453981,1.109590432103043,1.190019161450852,0.9833894915795428,0.4849415058650106,0.9074881255475584,0.5665739732073937,-1.2500909783517733,-0.5544118206220608,3.168038816815076,0.928679806763954
GAL | GLN,-1.5796032661714323,2.342729195592749,2.09988957444483,0.6794447055599752,1.7168203074619306,-2.4163538882319515,0.06752151328651525,0.8128325739344805,0.799337195515517,1.2637637222533677,-0.3830599060853147,2.201416539380318,3.266034274661423,-0.06483128597375788,0.35346595209405285,0.5420405153877046,1.0225317103529692,0.8371955760556581,-1.2729958307768412,1.0014178016644575,0.9844594992462998,2.0991754957411963,1.6263995794173391,0.7401523081197208,1.5866485685546385,2.0739859634453266,0.4608205771387154,1.116996678336545,0.915125557342418,0.4845879062852274,0.4128508484512231,-0.14897357125511101,-1.246969789072105,-0.21694561574716054,2.8379292261086695,-0.18255647179259027
GLC | ASP,-0.7790095335850891,2.886470109781363,-0.5554097015464403,0.3883762477574422,0.20261624718979582,-0.28949321921646254,-0.4523121387576935,1.2262351707145187,0.9666545488415903,1.347621646277744,-0.7463591867924706,1.9557985421288124,3.3862158465837733,-1.3032138174384547,0.3565946086588299,1.414627640594829,0.371001485896992,0.9337031963671517,-0.7451512224548529,0.6206547116226192,2.34407138497758,3.0014189160708398,1.2535119606092548,1.0889683607562564,1.0302192306875084,2.900000400168431,0.9674043464501986,2.8826968429864945,0.013354021552053091,1.404980923980568,1.290675512802746,-0.6627199300958959,-0.03389743255791939,0.18014868067128229,3.9938529511679617,-0.34122935710012947
GLC | GLN,-0.1121617187210101,0.920538246478844,1.66303427766875,1.12840955717183,1.70670823737338,-2.14637399738957,0.21155116671292643,0.8899353859242091,1.2711819786694811,1.2031038831513294,-1.2119435492718398,0.4846316923443666,2.9455528407621743,0.05672360485181042,0.3175051886091432,0.6035038157074575,0.7427853930403007,1.0520815741618357,-0.9658565003625706,0.4884193027312102,0.9286541398809207,1.8591231241466069,0.896300881897226,-0.09963564128133066,-0.3458788503250436,2.892558592598565,0.1008139624397266,0.944547214024028,1.3133474541645758,1.043412255731339,0.7580777066089482,1.5420685514705168,-0.5807390080111107,0.20831707808447508,3.1438721929346096,-0.06144020522966428
