Compound Name,Formula,Mass,RT,CAS ID,[Mass] 20211026_D6_rep01,[Mass] 20211026_D5_rep01,[Mass] 20211026_D4_rep01,[Mass] 20211026_D3_rep01,[Mass] 20211026_D2_rep01,[Mass] 20211026_D1_rep01,[Mass] 20211026_CTRL_S_rep01,[Mass] 20211026_CTRL_F_rep01,[Mass] 20211026_C6_rep01,[Mass] 20211026_C5_rep01,[Mass] 20211026_C4_rep01,[Mass] 20211026_C3_rep01,[Mass] 20211026_C2_rep01,[Mass] 20211026_C1_rep01,[Mass] 20211026_Blank_02,[Mass] 20211026_Blank_01,[Mass] 20211026_B6_rep01,[Mass] 20211026_B5_rep01,[Mass] 20211026_B4_rep01,[Mass] 20211026_B3_rep01,[Mass] 20211026_B2_rep01,[Mass] 20211026_B1_rep01,[Mass] 20211026_A6_rep01,[Mass] 20211026_A5_rep01,[Mass] 20211026_A4_rep01,[Mass] 20211026_A3_rep01,[Mass] 20211026_A2_rep01,[Mass] 20211026_A1_rep01,[RT] 20211026_D6_rep01,[RT] 20211026_D5_rep01,[RT] 20211026_D4_rep01,[RT] 20211026_D3_rep01,[RT] 20211026_D2_rep01,[RT] 20211026_D1_rep01,[RT] 20211026_CTRL_S_rep01,[RT] 20211026_CTRL_F_rep01,[RT] 20211026_C6_rep01,[RT] 20211026_C5_rep01,[RT] 20211026_C4_rep01,[RT] 20211026_C3_rep01,[RT] 20211026_C2_rep01,[RT] 20211026_C1_rep01,[RT] 20211026_Blank_02,[RT] 20211026_Blank_01,[RT] 20211026_B6_rep01,[RT] 20211026_B5_rep01,[RT] 20211026_B4_rep01,[RT] 20211026_B3_rep01,[RT] 20211026_B2_rep01,[RT] 20211026_B1_rep01,[RT] 20211026_A6_rep01,[RT] 20211026_A5_rep01,[RT] 20211026_A4_rep01,[RT] 20211026_A3_rep01,[RT] 20211026_A2_rep01,[RT] 20211026_A1_rep01,[Area] 20211026_D6_rep01,[Area] 20211026_D5_rep01,[Area] 20211026_D4_rep01,[Area] 20211026_D3_rep01,[Area] 20211026_D2_rep01,[Area] 20211026_D1_rep01,[Area] 20211026_CTRL_S_rep01,[Area] 20211026_CTRL_F_rep01,[Area] 20211026_C6_rep01,[Area] 20211026_C5_rep01,[Area] 20211026_C4_rep01,[Area] 20211026_C3_rep01,[Area] 20211026_C2_rep01,[Area] 20211026_C1_rep01,[Area] 20211026_Blank_02,[Area] 20211026_Blank_01,[Area] 20211026_B6_rep01,[Area] 20211026_B5_rep01,[Area] 20211026_B4_rep01,[Area] 20211026_B3_rep01,[Area] 20211026_B2_rep01,[Area] 20211026_B1_rep01,[Area] 20211026_A6_rep01,[Area] 20211026_A5_rep01,[Area] 20211026_A4_rep01,[Area] 20211026_A3_rep01,[Area] 20211026_A2_rep01,[Area] 20211026_A1_rep01,[Score (MFE)] 20211026_D6_rep01,[Score (MFE)] 20211026_D5_rep01,[Score (MFE)] 20211026_D4_rep01,[Score (MFE)] 20211026_D3_rep01,[Score (MFE)] 20211026_D2_rep01,[Score (MFE)] 20211026_D1_rep01,[Score (MFE)] 20211026_CTRL_S_rep01,[Score (MFE)] 20211026_CTRL_F_rep01,[Score (MFE)] 20211026_C6_rep01,[Score (MFE)] 20211026_C5_rep01,[Score (MFE)] 20211026_C4_rep01,[Score (MFE)] 20211026_C3_rep01,[Score (MFE)] 20211026_C2_rep01,[Score (MFE)] 20211026_C1_rep01,[Score (MFE)] 20211026_Blank_02,[Score (MFE)] 20211026_Blank_01,[Score (MFE)] 20211026_B6_rep01,[Score (MFE)] 20211026_B5_rep01,[Score (MFE)] 20211026_B4_rep01,[Score (MFE)] 20211026_B3_rep01,[Score (MFE)] 20211026_B2_rep01,[Score (MFE)] 20211026_B1_rep01,[Score (MFE)] 20211026_A6_rep01,[Score (MFE)] 20211026_A5_rep01,[Score (MFE)] 20211026_A4_rep01,[Score (MFE)] 20211026_A3_rep01,[Score (MFE)] 20211026_A2_rep01,[Score (MFE)] 20211026_A1_rep01,[Score (Tgt)] 20211026_D6_rep01,[Score (Tgt)] 20211026_D5_rep01,[Score (Tgt)] 20211026_D4_rep01,[Score (Tgt)] 20211026_D3_rep01,[Score (Tgt)] 20211026_D2_rep01,[Score (Tgt)] 20211026_D1_rep01,[Score (Tgt)] 20211026_CTRL_S_rep01,[Score (Tgt)] 20211026_CTRL_F_rep01,[Score (Tgt)] 20211026_C6_rep01,[Score (Tgt)] 20211026_C5_rep01,[Score (Tgt)] 20211026_C4_rep01,[Score (Tgt)] 20211026_C3_rep01,[Score (Tgt)] 20211026_C2_rep01,[Score (Tgt)] 20211026_C1_rep01,[Score (Tgt)] 20211026_Blank_02,[Score (Tgt)] 20211026_Blank_01,[Score (Tgt)] 20211026_B6_rep01,[Score (Tgt)] 20211026_B5_rep01,[Score (Tgt)] 20211026_B4_rep01,[Score (Tgt)] 20211026_B3_rep01,[Score (Tgt)] 20211026_B2_rep01,[Score (Tgt)] 20211026_B1_rep01,[Score (Tgt)] 20211026_A6_rep01,[Score (Tgt)] 20211026_A5_rep01,[Score (Tgt)] 20211026_A4_rep01,[Score (Tgt)] 20211026_A3_rep01,[Score (Tgt)] 20211026_A2_rep01,[Score (Tgt)] 20211026_A1_rep01
alpha_Ketoglutaric_acid,C5 H6 O5,146.0213,11.47,,146.021,146.0217,146.0215,146.0211,146.0215,146.0213,,146.019,146.021,146.0214,146.0215,146.0213,146.0217,146.0209,,,146.0212,146.0217,146.0212,146.0211,146.0217,146.021,146.021,146.0216,146.0215,146.0209,146.0215,146.0212,11.447,11.454,11.517,11.484,11.494,11.479,,11.366,11.482,11.44,11.49,11.483,11.447,11.473,,,11.454,11.481,11.478,11.46,11.457,11.463,11.482,11.474,11.449,11.454,11.494,11.437,429797,3954959,758049,497092,4198428,453837,,18137,223517,4185353,971133,496933,4113848,426364,,,348678,4164932,859531,473237,4751741,314753,403283,2945881,1108310,395247,4067517,326342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.65,87.22,87.32,87.12,87.42,87.09,,68.78,84.96,87.3,87.43,87.16,87.18,86.63,,,86.6,87.19,87.17,87.22,87.19,86.6,86.58,87.2,87.37,86.16,87.36,86.09
AMP,C10 H14 N5 O7 P,347.0617,10.08,,347.0615,347.0615,347.0616,347.0617,347.0616,347.0618,,347.0614,347.0617,347.0616,347.0618,347.0618,347.0618,347.0616,347.0617,347.0625,347.0612,347.0618,347.0616,347.0617,347.0616,347.0619,347.0615,347.0618,347.0618,347.0615,347.0617,347.0599,10.033,10.024,10.111,10.096,10.106,10.09,,10.119,10.085,10.035,10.085,10.086,10.034,10.084,9.994,10.054,10.049,10.087,10.098,10.063,10.044,10.066,10.093,10.077,10.052,10.04,10.097,10.032,83683,61128,52589,99697,50866,77610,,10530,47644,64275,103600,111476,76883,65402,97187,29809,51148,88502,73754,79231,63052,127380,76600,86904,71963,48485,56492,70119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.82,78.68,74.72,80.56,80.8,81.72,,65.49,80.93,80.09,80.55,81.16,81.12,78.85,72.07,68.57,69.52,95.46,79.09,80.49,80.67,95.45,78.66,80.2,80.55,73.96,78.18,66.71
ATP,C10 H16 N5 O13 P3,506.994,13.73,,506.994,506.9941,506.9938,506.994,506.994,506.9941,506.9941,506.9938,506.9942,506.9941,506.994,506.9941,506.9939,506.994,506.9951,,506.9942,506.9942,506.9938,506.9942,506.9941,506.9941,506.9941,506.9939,506.9939,506.994,506.994,,13.717,13.724,13.761,13.738,13.756,13.74,13.718,13.744,13.743,13.71,13.752,13.745,13.709,13.726,13.759,,13.724,13.737,13.74,13.721,13.727,13.724,13.735,13.728,13.71,13.724,13.722,,432931,411930,93329,433130,284461,328890,23204,32943,388648,456517,351417,431527,332204,364704,18523,,435156,395963,292940,488966,330064,320493,514942,302712,289099,356514,285026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.21,93.33,91.89,93.41,92.8,93.62,89.3,89.8,94.09,93.46,92.67,93.68,92.91,92.1,70.29,,93.91,93.89,91.38,93.56,93.89,94.25,92.61,91.83,92.39,92.66,92.63,
Caprylic_acid,C8 H16 O2,144.1147,16.13,,144.115,144.1146,144.1142,144.1146,144.1148,144.1144,144.1145,144.1143,144.1143,144.1151,144.1147,144.1145,144.1144,144.115,144.1147,144.1147,144.1146,144.1146,144.115,144.115,144.1146,144.1146,144.1151,144.1149,144.1147,144.1149,144.115,144.1147,16.128,16.135,16.023,16.141,16.134,16.135,16.138,16.023,16.138,16.138,16.138,16.139,16.128,16.137,15.931,16.007,16.144,16.132,16.126,16.133,16.13,16.136,16.138,16.139,16.146,16.143,16.133,15.919,187023,159326,95302,113025,211789,222127,184455,80221,199931,198872,259259,114351,193330,130447,1336884,35699,165857,153185,136806,161958,183789,140372,212822,175724,214230,191502,299301,862593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.04,84.29,79.13,83.54,83.65,83.78,84.41,78.99,83.66,83.7,83.85,84.64,83.76,85.04,81.23,82.14,84.41,84.36,85.47,85.2,84.64,84.63,84.33,84.9,84.6,85.37,84.62,80.72
Cellobiose,C12 H22 O11,342.1151,1.37,,,342.1155,,342.1151,342.1151,342.1152,342.1112,342.1143,,342.1155,,342.1157,342.1152,342.1149,342.1149,342.1148,,,,342.1157,342.1151,342.115,,,,342.1158,342.115,342.1147,,1.319,,1.382,1.376,1.376,1.479,1.447,,1.321,,1.389,1.37,1.379,1.339,1.34,,,,1.366,1.388,1.369,,,,1.36,1.375,1.368,,3510953,,560582,532543,463365,10951,73452,,3804764,,505772,399455,509340,427340,504334,,,,488086,407064,359166,,,,395781,400969,396289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.65,,82.62,82.18,82.66,30.76,73.77,,97.61,,97.44,80.19,81.38,78.62,78.27,,,,83.36,93.6,81.42,,,,82.49,80.08,73.98
Citramalic_acid,C5 H8 O5,148.0372,10.97,,148.0371,148.0372,148.0372,148.0373,148.0372,148.0372,,148.0375,148.0372,148.0371,148.0372,148.0373,148.0372,148.0371,148.0372,148.037,148.0372,148.0373,148.0372,148.0373,148.0372,148.0373,148.0372,148.0372,148.0372,148.0372,148.0372,148.0372,10.948,10.955,11.034,11.002,10.862,10.996,,10.851,10.999,10.959,10.999,10.992,10.94,10.991,10.92,10.943,10.964,10.993,11.005,10.969,10.967,10.981,11,10.984,10.966,10.955,11.007,10.947,1674272,9084140,4541318,2166389,1371676,7000592,,169583,950696,9560770,5447792,1911484,8886783,7506114,1185398,89690,1281353,9633572,4575205,2050471,10568058,5016053,1486438,6934712,5763440,1441638,9520838,5631181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.47,87.29,87.6,87.34,87.48,87.56,,78.33,87.22,87.4,87.32,87.48,87.47,87.41,81.57,81.54,87.44,87.35,87.46,87.37,87.23,87.42,87.44,87.38,87.36,87.34,87.41,87.33
X2HG,C5 H8 O5,148.0372,10.84,,148.0371,148.0374,148.0368,148.0373,148.0372,148.0372,148.0369,148.0375,148.0371,148.0373,148.0373,148.0373,148.0372,148.0371,148.0372,148.037,148.0371,148.0374,148.0369,148.0373,148.0372,148.0371,148.037,148.0375,148.0371,148.0371,148.0371,148.0372,10.948,10.789,10.876,10.836,10.862,10.838,10.842,10.851,10.833,10.783,10.841,10.834,10.94,10.824,10.92,10.943,10.798,10.835,10.838,10.803,10.801,10.814,10.842,10.826,10.8,10.789,10.837,10.772,1666696,132201,192651,2658747,1371527,1278405,116255,169583,964778,156931,280692,2619037,8886783,1523813,1185398,92547,923659,163114,230791,2109855,1306916,937904,1011799,139060,308506,1741616,1456117,1169592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.47,86.65,83.37,87.17,87.48,87.27,67.5,78.33,87.24,87.43,85.79,87.01,87.47,87.46,81.57,81.54,87.33,78.84,83.88,87.34,87.32,87.4,87.36,86.48,85.98,87.46,87.48,87.39
Citric_acid,C6 H8 O7,192.027,12.54,,192.027,192.0271,192.0272,192.0271,192.0269,192.027,192.027,192.027,192.0271,192.0269,192.027,192.027,192.0271,192.0269,192.0254,192.0243,192.0271,192.027,192.0269,192.0269,192.027,192.0271,192.027,192.0269,192.0271,192.0269,192.0269,192.027,12.511,12.527,12.573,12.549,12.567,12.543,12.546,12.555,12.554,12.513,12.554,12.547,12.511,12.537,12.666,12.681,12.527,12.548,12.551,12.533,12.522,12.527,12.546,12.539,12.521,12.535,12.558,12.51,1242996,2445243,1283343,1924922,2292704,2823789,400287,591117,1406154,2271644,1982345,1867740,2510422,2494221,22179282,3288045,1570301,2291456,1828292,1761607,2587939,2465030,1123229,2117950,1772238,1713066,2122962,3298147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.86,86.83,86.49,87.15,86.91,87.01,86.83,86.8,86.6,87.09,86.77,86.81,86.72,86.87,76.1,63.07,86.75,86.77,86.83,87.19,86.85,86.94,86.62,86.84,86.76,86.82,86.81,86.86
Isocitrate,C6 H8 O7,192.0267,11.79,,192.0265,192.027,192.0264,192.0268,192.0267,192.0267,,,192.0266,192.0267,192.0268,192.0268,192.027,192.0265,,,192.0265,192.027,192.0265,192.0267,192.0266,192.027,192.0265,192.0269,192.0267,192.0265,192.0267,192.0266,11.779,11.787,11.857,11.817,11.827,11.72,,,11.823,11.789,11.831,11.807,11.78,11.714,,,11.787,11.808,11.819,11.793,11.699,11.795,11.806,11.799,11.781,11.786,11.827,11.678,276345,1963803,158058,983526,1364234,337285,,,309996,1711003,1064392,1219137,2046748,301473,,,455879,1840756,896380,1115953,213302,1823622,212274,1705397,938749,933841,1546804,208769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.23,86.67,85.13,86.53,86.53,97.96,,,85.89,86.29,86.46,86.63,86.65,96.14,,,96.91,86.6,85.74,86.4,95.31,86.63,84.46,86.68,86.37,85.68,86.5,94.88
Creatinine,C4 H7 N3 O,113.0587,1.16,,113.0588,113.0585,113.0582,113.0588,113.0588,113.0588,,113.0582,113.0584,113.0592,113.0586,113.0586,113.0587,113.0591,113.0584,113.0587,113.0583,113.0586,113.0586,113.0586,113.0587,113.0588,113.0587,113.0585,113.0587,113.0597,113.059,113.0589,1.162,1.161,1.157,1.166,1.168,1.169,,1.114,1.155,1.172,1.163,1.173,1.154,1.163,1.079,1.107,1.153,1.174,1.168,1.15,1.164,1.153,1.163,1.164,1.163,1.152,1.167,1.16,76797,13614,11187,164176,45370,100610,,34429,68136,19066,42945,191349,56817,75460,218066,108767,55544,21770,32881,198708,55193,94283,97370,11466,26948,142891,42068,75663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.76,67.21,61.79,68.2,66.34,66.07,,64.42,61.12,68.49,67.1,61.11,68.15,68.3,57.74,67.54,63.73,67.39,64.68,66.99,67.48,67.78,64.34,68.3,67.22,64.68,68.46,68.35
CTP,C9 H16 N3 O14 P3,482.9823,13.39,,482.9822,482.982,482.9834,482.9823,482.9826,482.9799,,,482.9825,482.9819,482.9788,482.9823,482.9823,482.9822,,,482.9823,482.9822,482.9824,482.9825,482.9824,482.9825,482.9822,482.9825,482.9823,482.9821,482.9806,482.9821,13.367,13.366,13.429,13.397,13.407,13.391,,,13.411,13.369,13.394,13.395,13.376,13.402,,,13.375,13.404,13.39,13.372,13.378,13.375,13.386,13.395,13.361,13.375,13.406,13.325,52397,35348,7112,63561,26571,26461,,,43971,39704,23529,58027,30304,30458,,,47718,28587,16979,62665,26674,16810,58208,20957,16697,47962,21022,14711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.57,68.67,74.18,84.92,82.99,67.17,,,88.33,73.14,63.37,82.56,81.99,77.61,,,87.41,75.95,67.21,87.51,81.01,83.11,85.84,66.55,76.75,68.29,66.68,67.07
Cytosine,C4 H5 N3 O,111.0432,1.14,,111.0431,111.043,111.0431,111.0438,111.0435,111.0426,,111.0425,111.0422,111.0436,111.0435,111.0432,111.0438,111.0434,,111.043,111.0426,111.043,111.0438,111.0432,,111.0432,,111.0432,111.0431,111.0441,,111.0433,1.203,1.161,1.356,1.133,1.159,1.085,,1.123,1.122,1.097,1.321,1.098,1.303,1.138,,1.207,1.128,1.157,1.151,1.141,,1.095,,1.147,1.114,1.127,,1.135,1734,13098,4913,4106,11147,17120,,889,4407,1932,3242,4406,4441,5137,,2619,2161,6470,7157,2099,,16669,,1977,10539,6203,,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.55,66.95,66.35,63.3,68.51,65.52,,67.96,64.77,70.53,66.26,65.99,68.04,68.9,,67.17,67.98,67.36,67.8,68.41,,68.53,,78.14,71.89,59.87,,68.4
D_2_Phosphoglyceric_acid,C3 H7 O7 P,185.9927,12.15,,185.9926,185.9928,185.9929,185.9927,185.9926,185.9929,,,185.9928,185.9926,185.9927,185.9929,185.9927,185.9926,185.9924,185.9954,185.9927,185.9929,185.9927,185.9927,185.9927,185.9926,185.9927,185.9927,185.9927,185.9926,185.9926,185.9927,12.112,12.136,12.19,12.15,12.176,12.152,,,12.155,12.122,12.164,12.156,12.121,12.146,12.146,12.149,12.128,12.149,12.16,12.133,12.139,12.145,12.147,12.148,12.122,12.136,12.167,12.119,218220,326606,86144,279937,198673,253977,,,214475,306348,215654,239509,217986,267399,64784,29523,213354,288849,216328,295158,197970,144992,315657,291567,262550,254804,204328,216933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4,86.92,87.03,86.9,86.69,87,,,86.99,86.54,86.71,87.01,86.96,86.51,74.54,75.81,86.9,87,86.4,86.71,86.88,86.53,86.74,86.67,86.75,86.44,86.44,86.84
D_Arabinose_5_phosphate,C5 H11 O8 P,230.0183,6.97,,230.0183,230.0185,230.0186,230.0184,230.0185,230.0183,,,230.0185,230.0182,230.0182,230.0187,230.0183,230.018,230.0182,,230.0185,230.0182,230.0183,230.0184,230.0182,230.0182,230.0183,230.0183,230.0179,230.0184,230.0181,230.0181,6.982,6.831,6.96,6.911,6.938,7.055,,,6.917,6.967,7.033,6.918,6.974,7.016,6.96,,6.873,7.044,6.905,6.854,6.992,7.006,7.042,6.893,6.984,6.856,7.054,6.989,126549,27092,18003,104838,25371,106966,,,55971,60120,88047,82841,40840,48546,9722,,41806,86173,41081,79180,64853,91539,180046,29379,90913,64587,68497,79320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.17,84.29,65.77,84.57,78.5,82.72,,,85.57,83.26,83.13,85.62,84.16,80.34,68.95,,84.92,82.69,78.54,84.07,84,78.75,84.51,83.58,79.86,84.12,83.01,77.24
D_Fructose_1_6_bisphosphate,C6 H14 O12 P2,339.9953,12.13,,339.9949,339.995,339.9952,339.9956,339.9952,339.9956,,,339.995,339.9949,339.9954,339.9956,339.9954,339.9955,,339.9956,339.9953,339.9951,339.9951,339.9956,339.9954,339.9955,339.9951,339.9949,339.9953,339.9955,339.9953,339.9956,12.095,12.119,12.173,12.133,12.16,12.135,,,12.139,12.105,12.147,12.132,12.112,12.13,,12.165,12.111,12.141,12.143,12.117,12.123,12.128,12.131,12.131,12.105,12.127,12.151,12.102,187095,113876,225779,822735,338101,1003142,,,183123,95006,479014,801852,528884,973182,,65818,279000,108680,357520,1021297,377072,666071,228745,96387,290014,1002133,418596,772020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.54,81.82,82.83,83.79,82.58,84.12,,,81.92,79.9,83.35,84.07,83.69,83.64,,81.09,82.93,82.51,82.43,84.25,83.58,83.79,82.23,81.29,82.67,83.84,83.19,83.84
D_Glucose_6_phosphate,C6 H13 O9 P,260.0292,5.91,,260.0296,260.0297,260.0292,,260.0292,260.0294,,,260.0292,260.0295,,,260.029,,,,,260.0293,260.0291,260.0288,260.0291,,,,,260.0286,,260.0291,5.934,5.933,5.68,,5.674,5.683,,,5.653,5.919,,,5.91,,,,,5.672,5.699,5.922,5.945,,,,,5.941,,5.916,5719788,6016263,639975,,631912,1105138,,,668833,6064770,,,166728,,,,,677239,651275,196818,198934,,,,,264684,,213701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.86,86.02,85.09,,85.09,85.78,,,85.34,85.71,,,82.31,,,,,85.34,84.41,82.42,82.25,,,,,80.04,,77.67
D_Gluconic_acid,C6 H12 O7,196.0578,4.31,,196.0576,196.0579,,,,,,,,196.0576,,,196.0578,,,,196.0578,,,196.0578,196.0579,,,,196.0578,196.0577,,196.0578,4.313,4.295,,,,,,,,4.281,,,4.288,,,,4.337,,,4.309,4.332,,,,4.331,4.295,,4.311,22588,18935,,,,,,,,31204,,,320018,,,,30926,,,316714,423025,,,,64928,277639,,264436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.78,80.37,,,,,,,,78.9,,,85.55,,,,78.5,,,85.29,86.16,,,,81.62,85.14,,85.42
D_Maltose,C12 H22 O11,342.1155,1.34,,342.1155,342.1155,342.1156,342.1151,342.1151,342.1152,,,342.1157,342.1155,342.1155,342.1157,342.1152,342.1149,342.1149,342.1148,342.1156,342.1156,342.1154,342.1157,342.1151,342.115,342.1155,342.1155,342.1156,342.1158,342.115,342.1147,1.27,1.319,1.298,1.382,1.376,1.376,,,1.271,1.321,1.305,1.389,1.37,1.379,1.339,1.34,1.311,1.273,1.276,1.366,1.388,1.369,1.28,1.272,1.313,1.36,1.375,1.368,4070377,3510953,3320313,560582,532380,463365,,,3742816,3804764,3461586,505772,399455,509340,404436,501121,3370440,3710733,3236488,488006,407064,359166,3504523,3274384,3519219,395781,394354,394237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.88,95.65,95.68,82.62,82.18,82.66,,,96.15,97.61,97.93,97.44,80.19,81.38,78.62,78.27,95.6,95.93,97.11,83.36,93.6,81.42,97.65,97.93,95.21,82.49,80.08,73.98
D_Mannose,C6 H12 O6,180.0633,1.31,,180.0632,180.0633,180.0634,180.0631,180.0633,180.0633,180.0627,180.0632,180.0634,180.0632,180.0634,180.0634,180.0633,180.0632,180.0639,180.0631,180.0633,180.0634,180.0631,180.0633,180.0633,180.0633,180.0632,180.0633,180.0633,180.0631,180.0632,180.0633,1.286,1.31,1.298,1.341,1.334,1.327,1.271,1.314,1.305,1.271,1.305,1.331,1.312,1.354,1.339,1.298,1.302,1.332,1.309,1.324,1.322,1.294,1.305,1.297,1.28,1.31,1.35,1.293,20064713,19121905,17830715,19921316,21149655,19788295,15623,593986,19900610,18538532,18370754,19575065,18202341,20588256,911328,800367,18308751,19786527,18519974,18471037,20000431,16751639,18616456,18126698,20022806,17344315,18857869,18832621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.28,97.25,87.38,87.12,87.36,87.3,76.93,86.19,87.35,96.06,87.31,87.35,87.28,87.19,87.14,87,94.3,87.36,86.99,87.31,87.35,87.34,94.82,95.1,95.24,87.15,87.27,87.31
D_Mannose_1_phosphate,C6 H13 O9 P,260.0291,7.14,,260.0295,260.0292,260.0294,260.0284,260.0296,260.029,,260.0298,,260.0281,260.029,260.0291,260.0291,260.0285,260.0297,,260.0295,,260.0285,260.0292,260.0291,260.0293,260.029,260.0294,260.0292,260.0285,260.0283,260.0291,7.098,7.097,7.21,7.178,7.212,7.18,,7.068,,7.325,7.183,7.184,7.082,7.149,7.08,,7.122,,7.196,7.12,7.117,7.131,7.158,7.151,7.108,7.114,7.179,7.114,10504,7910,9204,58593,30315,100392,,3169,,7976,15402,53564,61671,75286,79252,,17467,,12945,56980,41792,51754,6633,11455,9471,49749,53669,74993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.39,71.6,66.36,76.62,67.21,81.27,,67.75,,62.14,68.55,77.86,77.12,77.66,67.43,,68.04,,72.01,79.53,73.07,78.32,67.95,65.54,67.55,76.55,76.03,77.44
D_Xylose,C5 H10 O5,150.0531,1.32,,150.0546,150.0543,150.0539,150.0531,150.0526,150.054,150.0529,150.0528,150.0547,150.0529,150.0527,150.0541,150.0528,150.0527,,150.0506,150.0548,150.0542,150.0531,150.0527,150.0541,150.0553,150.0532,150.0528,150.0526,150.0532,150.0528,150.0527,1.286,1.319,1.323,1.341,1.342,1.327,1.205,1.206,1.296,1.321,1.321,1.323,1.337,1.337,,1.381,1.286,1.332,1.326,1.324,1.33,1.311,1.305,1.305,1.321,1.335,1.342,1.335,707156,556209,525011,630227,608088,644928,9059,3176,640157,560896,530982,600507,525400,626762,,35878,668673,590365,539424,581654,625251,499430,586260,497874,563713,477704,571219,558044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,66.4,68.73,70.97,66.92,74.07,62.63,64.85,65.22,73.57,68.03,70.7,62.86,74.08,,55.91,64.03,69.84,72.73,68.84,64.5,60.9,82.09,70.84,70.37,71.62,65.99,71.6
D_Xylulose_5_phosphate,C5 H11 O8 P,230.0182,7.02,,230.0183,230.0182,230.0179,230.0182,230.018,230.0183,,,230.0183,230.0182,230.0182,230.0185,230.0182,230.018,230.0182,,230.0185,230.0182,230.0179,230.0183,230.0182,230.0183,230.0183,230.0182,230.0179,230.0183,230.0181,230.0181,6.982,6.972,7.085,7.045,7.088,7.055,,,7.058,6.967,7.033,7.043,6.974,7.016,6.96,,7.006,7.044,7.046,6.995,6.992,7.006,7.042,7.043,6.984,6.989,7.054,6.989,135677,79455,47230,212394,65339,106966,,,131453,59360,81214,195069,42195,52684,11637,,102878,85645,86327,157235,62962,88847,163151,90792,85325,128805,72534,72662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.17,83.1,69.97,83.7,80.74,82.72,,,84.71,83.13,83.06,84.72,84.11,80.01,68.95,,84.49,82.69,82.44,84.05,84,82.31,84.47,82.96,79.86,83.92,83.01,77.24
Dihydroxyacetone_phosphate,C3 H7 O6 P,169.9979,7.64,,169.9978,169.998,169.9984,169.9977,169.9978,169.9978,,,169.9981,169.9979,169.9979,169.9978,169.9978,169.9977,,,169.998,169.9981,169.9979,169.9977,169.9979,169.9977,169.9979,169.998,169.9981,169.9978,169.9981,169.9978,7.58,7.579,7.717,7.66,7.703,7.671,,,7.682,7.591,7.657,7.667,7.573,7.623,,,7.613,7.659,7.678,7.619,7.608,7.63,7.657,7.658,7.599,7.604,7.661,7.604,246982,158440,98766,454372,277431,352808,,,158577,149656,194132,380321,301060,268872,,,185123,145130,148921,364252,276105,364285,222281,146036,138867,240949,266995,284835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.17,81.18,73.85,86.12,84.94,86.13,,,81.68,81.84,82.92,86.25,85.88,85.05,,,81.24,81.45,82.95,85.56,84.55,86.04,84.17,80.35,78.94,85.33,84.49,85.79
DL_2_Aminoadipic_Acid,C6 H11 N O4,161.0691,2.39,,161.0692,161.0689,161.0696,161.0692,161.0689,161.0691,,,161.0693,161.0691,161.0689,161.0691,161.0688,161.0691,,,161.0692,161.0688,161.0692,161.069,161.0688,161.0691,161.0693,161.069,161.0688,161.0695,161.069,161.0698,2.376,2.366,2.42,2.413,2.407,2.416,,,2.419,2.344,2.419,2.42,2.359,2.393,,,2.391,2.404,2.407,2.38,2.378,2.392,2.411,2.378,2.369,2.383,2.398,2.383,85304,100239,51050,99129,115009,106143,,,60298,98913,120858,92709,118455,86414,,,65113,107260,105314,99077,139041,85457,89137,94402,117323,69620,117820,40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.42,65.92,66.43,65.22,68.29,67.55,,,65.83,66.65,67.77,65.55,68.39,68.37,,,65.74,64.37,61.01,68.41,65.01,68.49,63.14,68.68,67.86,64.19,68.14,68.56
