"Compound Name","Formula","Mass","RT","CAS ID",[Mass] 20211026_D6_rep01,[Mass] 20211026_D5_rep01,[Mass] 20211026_D4_rep01,[Mass] 20211026_D3_rep01,[Mass] 20211026_D2_rep01,[Mass] 20211026_D1_rep01,[Mass] 20211026_CTRL_S_rep01,[Mass] 20211026_CTRL_F_rep01,[Mass] 20211026_C6_rep01,[Mass] 20211026_C5_rep01,[Mass] 20211026_C4_rep01,[Mass] 20211026_C3_rep01,[Mass] 20211026_C2_rep01,[Mass] 20211026_C1_rep01,[Mass] 20211026_Blank_02,[Mass] 20211026_Blank_01,[Mass] 20211026_B6_rep01,[Mass] 20211026_B5_rep01,[Mass] 20211026_B4_rep01,[Mass] 20211026_B3_rep01,[Mass] 20211026_B2_rep01,[Mass] 20211026_B1_rep01,[Mass] 20211026_A6_rep01,[Mass] 20211026_A5_rep01,[Mass] 20211026_A4_rep01,[Mass] 20211026_A3_rep01,[Mass] 20211026_A2_rep01,[Mass] 20211026_A1_rep01,[RT] 20211026_D6_rep01,[RT] 20211026_D5_rep01,[RT] 20211026_D4_rep01,[RT] 20211026_D3_rep01,[RT] 20211026_D2_rep01,[RT] 20211026_D1_rep01,[RT] 20211026_CTRL_S_rep01,[RT] 20211026_CTRL_F_rep01,[RT] 20211026_C6_rep01,[RT] 20211026_C5_rep01,[RT] 20211026_C4_rep01,[RT] 20211026_C3_rep01,[RT] 20211026_C2_rep01,[RT] 20211026_C1_rep01,[RT] 20211026_Blank_02,[RT] 20211026_Blank_01,[RT] 20211026_B6_rep01,[RT] 20211026_B5_rep01,[RT] 20211026_B4_rep01,[RT] 20211026_B3_rep01,[RT] 20211026_B2_rep01,[RT] 20211026_B1_rep01,[RT] 20211026_A6_rep01,[RT] 20211026_A5_rep01,[RT] 20211026_A4_rep01,[RT] 20211026_A3_rep01,[RT] 20211026_A2_rep01,[RT] 20211026_A1_rep01,[Area] 20211026_D6_rep01,[Area] 20211026_D5_rep01,[Area] 20211026_D4_rep01,[Area] 20211026_D3_rep01,[Area] 20211026_D2_rep01,[Area] 20211026_D1_rep01,[Area] 20211026_CTRL_S_rep01,[Area] 20211026_CTRL_F_rep01,[Area] 20211026_C6_rep01,[Area] 20211026_C5_rep01,[Area] 20211026_C4_rep01,[Area] 20211026_C3_rep01,[Area] 20211026_C2_rep01,[Area] 20211026_C1_rep01,[Area] 20211026_Blank_02,[Area] 20211026_Blank_01,[Area] 20211026_B6_rep01,[Area] 20211026_B5_rep01,[Area] 20211026_B4_rep01,[Area] 20211026_B3_rep01,[Area] 20211026_B2_rep01,[Area] 20211026_B1_rep01,[Area] 20211026_A6_rep01,[Area] 20211026_A5_rep01,[Area] 20211026_A4_rep01,[Area] 20211026_A3_rep01,[Area] 20211026_A2_rep01,[Area] 20211026_A1_rep01,[Score (MFE)] 20211026_D6_rep01,[Score (MFE)] 20211026_D5_rep01,[Score (MFE)] 20211026_D4_rep01,[Score (MFE)] 20211026_D3_rep01,[Score (MFE)] 20211026_D2_rep01,[Score (MFE)] 20211026_D1_rep01,[Score (MFE)] 20211026_CTRL_S_rep01,[Score (MFE)] 20211026_CTRL_F_rep01,[Score (MFE)] 20211026_C6_rep01,[Score (MFE)] 20211026_C5_rep01,[Score (MFE)] 20211026_C4_rep01,[Score (MFE)] 20211026_C3_rep01,[Score (MFE)] 20211026_C2_rep01,[Score (MFE)] 20211026_C1_rep01,[Score (MFE)] 20211026_Blank_02,[Score (MFE)] 20211026_Blank_01,[Score (MFE)] 20211026_B6_rep01,[Score (MFE)] 20211026_B5_rep01,[Score (MFE)] 20211026_B4_rep01,[Score (MFE)] 20211026_B3_rep01,[Score (MFE)] 20211026_B2_rep01,[Score (MFE)] 20211026_B1_rep01,[Score (MFE)] 20211026_A6_rep01,[Score (MFE)] 20211026_A5_rep01,[Score (MFE)] 20211026_A4_rep01,[Score (MFE)] 20211026_A3_rep01,[Score (MFE)] 20211026_A2_rep01,[Score (MFE)] 20211026_A1_rep01,[Score (Tgt)] 20211026_D6_rep01,[Score (Tgt)] 20211026_D5_rep01,[Score (Tgt)] 20211026_D4_rep01,[Score (Tgt)] 20211026_D3_rep01,[Score (Tgt)] 20211026_D2_rep01,[Score (Tgt)] 20211026_D1_rep01,[Score (Tgt)] 20211026_CTRL_S_rep01,[Score (Tgt)] 20211026_CTRL_F_rep01,[Score (Tgt)] 20211026_C6_rep01,[Score (Tgt)] 20211026_C5_rep01,[Score (Tgt)] 20211026_C4_rep01,[Score (Tgt)] 20211026_C3_rep01,[Score (Tgt)] 20211026_C2_rep01,[Score (Tgt)] 20211026_C1_rep01,[Score (Tgt)] 20211026_Blank_02,[Score (Tgt)] 20211026_Blank_01,[Score (Tgt)] 20211026_B6_rep01,[Score (Tgt)] 20211026_B5_rep01,[Score (Tgt)] 20211026_B4_rep01,[Score (Tgt)] 20211026_B3_rep01,[Score (Tgt)] 20211026_B2_rep01,[Score (Tgt)] 20211026_B1_rep01,[Score (Tgt)] 20211026_A6_rep01,[Score (Tgt)] 20211026_A5_rep01,[Score (Tgt)] 20211026_A4_rep01,[Score (Tgt)] 20211026_A3_rep01,[Score (Tgt)] 20211026_A2_rep01,[Score (Tgt)] 20211026_A1_rep01,
2_2_Dimethylsuccinic_acid_MET,C6 H10 O4,146.0568,12.55,,146.0567,146.0568,146.0570,146.0565,146.0569,146.0567,146.0572,146.0572,146.0568,146.0572,146.0567,146.0568,146.0568,146.0568,,146.0572,146.0566,146.0569,146.0566,146.0565,146.0569,146.0567,146.0565,146.0569,146.0567,146.0565,146.0566,146.0570,12.511,12.660,12.581,12.557,12.700,12.543,12.546,12.555,12.554,12.114,12.554,12.547,12.644,12.537,,12.157,12.660,12.681,12.551,12.117,12.663,12.527,12.546,12.672,12.521,12.535,12.558,12.102,203662,802926,264128,358008,207540,656372,106516,117068,273978,80568,386414,371100,742880,537006,,10575,492403,648545,263419,81307,789814,497091,145025,542970,377014,243892,461717,88435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.74,64.02,74.40,71.76,58.83,82.04,81.46,81.27,73.99,63.81,77.86,68.35,63.19,76.42,,66.42,69.08,65.91,76.28,62.81,60.27,80.54,66.73,62.68,74.44,71.08,54.80,68.70
2_2_Dimethylsuccinic_acid_REF,C6 H10 O4,146.0568,12.55,,146.0567,146.0568,146.0570,146.0565,146.0569,146.0567,146.0572,146.0572,146.0568,146.0572,146.0567,146.0568,146.0568,146.0568,,146.0572,146.0566,146.0569,146.0566,146.0565,146.0569,146.0567,146.0565,146.0569,146.0567,146.0565,146.0566,146.0570,12.511,12.660,12.581,12.557,12.700,12.543,12.546,12.555,12.554,12.114,12.554,12.547,12.644,12.537,,12.157,12.660,12.681,12.551,12.117,12.663,12.527,12.546,12.672,12.521,12.535,12.558,12.102,203662,802926,264128,358008,207540,656372,106516,117068,273978,80568,386414,371100,742880,537006,,10575,492403,648545,263419,81307,789814,497091,145025,542970,377014,243892,461717,88435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.74,64.02,74.40,71.76,58.83,82.04,81.46,81.27,73.99,63.81,77.86,68.35,63.19,76.42,,66.42,69.08,65.91,76.28,62.81,60.27,80.54,66.73,62.68,74.44,71.08,54.80,68.70
2_3_Dihydroxyisovaleric_acid_MET,C5 H10 O4,134.0579,9.80,,134.0578,134.0579,,134.0579,,134.0578,134.0578,134.0579,134.0578,134.0577,134.0579,,134.0579,134.0578,134.0579,134.0579,134.0579,134.0579,134.0578,134.0579,134.0579,134.0579,134.0578,134.0579,134.0579,134.0577,134.0579,134.0579,9.742,9.783,,9.805,,9.824,9.835,9.836,9.852,9.786,9.844,,9.743,9.827,9.806,9.837,9.800,9.804,9.823,9.814,9.745,9.775,9.786,9.828,9.794,9.799,9.839,9.724,3075215,4017199,,105522,,5772659,3180019,6449974,5799334,6372259,4072141,,5536344,2899495,30020179,780096,2811412,4616911,4817300,660009,5098220,2784138,888514,4339723,3214353,5773004,4687393,106579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.45,87.47,,87.49,,87.56,87.55,87.49,87.58,87.42,87.46,,87.53,87.42,87.47,87.64,87.47,87.54,87.47,87.47,87.56,87.46,87.49,87.51,87.51,87.45,87.51,87.33
2_3_Dihydroxyisovaleric_acid_REF,C5 H10 O4,134.0579,9.80,,134.0578,134.0579,,134.0579,,134.0578,134.0578,134.0579,134.0578,134.0577,134.0579,,134.0579,134.0578,134.0579,134.0579,134.0579,134.0579,134.0578,134.0579,134.0579,134.0579,134.0578,134.0579,134.0579,134.0577,134.0579,134.0579,9.742,9.783,,9.805,,9.824,9.835,9.836,9.852,9.786,9.844,,9.743,9.827,9.806,9.837,9.800,9.804,9.823,9.814,9.745,9.775,9.786,9.828,9.794,9.799,9.839,9.724,3075215,4017199,,105522,,5772659,3180019,6449974,5799334,6372259,4072141,,5536344,2899495,30020179,780096,2811412,4616911,4817300,660009,5098220,2784138,888514,4339723,3214353,5773004,4687393,106579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.45,87.47,,87.49,,87.56,87.55,87.49,87.58,87.42,87.46,,87.53,87.42,87.47,87.64,87.47,87.54,87.47,87.47,87.56,87.46,87.49,87.51,87.51,87.45,87.51,87.33
2_Deoxyadenosine_MET,C10 H13 N5 O3,251.1031,5.93,,251.1038,251.1020,251.1047,251.1025,251.1021,251.1024,,251.1086,251.1056,251.1069,251.1062,251.1010,251.1011,251.1023,,,251.1039,251.1045,251.1061,251.1020,251.1020,251.1018,251.1031,251.1028,251.1070,251.1025,251.1037,251.1043,5.859,5.858,6.004,5.947,5.998,5.949,,5.970,5.936,5.869,5.953,5.954,5.835,5.927,,,5.892,5.963,5.932,5.872,5.887,5.892,5.944,5.920,5.869,5.866,5.940,5.900,6689,7762,7210,21581,24287,18574,,7354,9308,6251,11244,19981,19317,16452,,,7578,9770,8427,15589,22973,15363,11240,13607,5536,15437,24081,14302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79,43.44,33.83,72.86,73.16,78.89,,1.77,18.47,7.29,27.04,70.89,79.14,74.69,,,55.04,34.75,11.89,67.57,79.65,69.26,45.10,44.56,14.57,79.86,76.41,46.55
2_Deoxyadenosine_REF,C10 H13 N5 O3,251.1031,5.93,,251.1038,251.1020,251.1047,251.1025,251.1021,251.1024,,251.1086,251.1056,251.1069,251.1062,251.1010,251.1011,251.1023,,,251.1039,251.1045,251.1061,251.1020,251.1020,251.1018,251.1031,251.1028,251.1070,251.1025,251.1037,251.1043,5.859,5.858,6.004,5.947,5.998,5.949,,5.970,5.936,5.869,5.953,5.954,5.835,5.927,,,5.892,5.963,5.932,5.872,5.887,5.892,5.944,5.920,5.869,5.866,5.940,5.900,6689,7762,7210,21581,24287,18574,,7354,9308,6251,11244,19981,19317,16452,,,7578,9770,8427,15589,22973,15363,11240,13607,5536,15437,24081,14302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79,43.44,33.83,72.86,73.16,78.89,,1.77,18.47,7.29,27.04,70.89,79.14,74.69,,,55.04,34.75,11.89,67.57,79.65,69.26,45.10,44.56,14.57,79.86,76.41,46.55
2_Isopropylmalic_acid_MET,C7 H12 O5,176.0683,12.65,,,176.0685,176.0683,176.0685,176.0683,176.0682,,176.0645,176.0683,176.0683,176.0684,176.0684,,176.0682,,,176.0686,176.0684,176.0683,176.0683,176.0684,176.0684,176.0684,176.0684,176.0684,176.0683,176.0681,176.0665,,12.626,12.681,12.657,12.667,12.651,,12.672,12.646,12.621,12.661,12.655,,12.645,,,12.618,12.648,12.650,12.624,12.630,12.635,12.646,12.647,12.621,12.643,12.683,12.693,,7476729,7491071,9907657,9667230,26173176,,394544,9092242,10391432,9938125,12980059,,25217363,,,6698512,8434597,11937855,9171858,9853441,13684424,9867081,6756699,8929883,10516114,9664054,17817775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.71,86.64,86.87,86.64,86.81,,21.87,86.86,86.55,86.68,87.00,,86.46,,,86.72,86.99,86.63,86.51,86.90,87.01,86.73,86.48,86.75,86.63,85.89,70.23
2_Isopropylmalic_acid_REF,C7 H12 O5,176.0683,12.65,,,176.0685,176.0683,176.0685,176.0683,176.0682,,176.0645,176.0683,176.0683,176.0684,176.0684,,176.0682,,,176.0686,176.0684,176.0683,176.0683,176.0684,176.0684,176.0684,176.0684,176.0684,176.0683,176.0681,176.0665,,12.626,12.681,12.657,12.667,12.651,,12.672,12.646,12.621,12.661,12.655,,12.645,,,12.618,12.648,12.650,12.624,12.630,12.635,12.646,12.647,12.621,12.643,12.683,12.693,,7476729,7491071,9907657,9667230,26173176,,394544,9092242,10391432,9938125,12980059,,25217363,,,6698512,8434597,11937855,9171858,9853441,13684424,9867081,6756699,8929883,10516114,9664054,17817775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.71,86.64,86.87,86.64,86.81,,21.87,86.86,86.55,86.68,87.00,,86.46,,,86.72,86.99,86.63,86.51,86.90,87.01,86.73,86.48,86.75,86.63,85.89,70.23
3_Dehydroshikimic_acid_MET,C7 H8 O5,172.0334,6.00,,172.0332,,172.0331,172.0337,172.0335,172.0339,172.0332,172.0337,172.0334,172.0336,172.0334,172.0332,172.0336,172.0335,172.0322,,172.0330,172.0336,172.0332,172.0332,172.0334,172.0336,172.0342,,172.0333,172.0332,172.0333,172.0324,6.159,,6.021,5.980,6.015,5.991,5.986,5.995,5.986,6.086,6.210,5.995,5.984,6.027,5.886,,6.183,6.237,6.165,5.947,6.003,6.000,6.235,,5.869,5.941,5.981,5.966,474439,,1070043,52454,972631,1140979,667574,1171958,146693,684913,139401,1057778,799753,1013888,166903,,1028030,506029,517139,1008880,1062963,980830,151679,,84295,1352921,1486626,766685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,,6.94,12.13,9.93,13.58,7.84,11.97,9.41,11.06,9.15,7.49,10.92,10.01,2.73,,6.53,10.70,7.70,7.58,9.12,10.90,17.09,,8.22,7.58,8.39,3.66
3_Dehydroshikimic_acid_REF,C7 H8 O5,172.0334,6.00,,172.0332,,172.0331,172.0337,172.0335,172.0339,172.0332,172.0337,172.0334,172.0336,172.0334,172.0332,172.0336,172.0335,172.0322,,172.0330,172.0336,172.0332,172.0332,172.0334,172.0336,172.0342,,172.0333,172.0332,172.0333,172.0324,6.159,,6.021,5.980,6.015,5.991,5.986,5.995,5.986,6.086,6.210,5.995,5.984,6.027,5.886,,6.183,6.237,6.165,5.947,6.003,6.000,6.235,,5.869,5.941,5.981,5.966,474439,,1070043,52454,972631,1140979,667574,1171958,146693,684913,139401,1057778,799753,1013888,166903,,1028030,506029,517139,1008880,1062963,980830,151679,,84295,1352921,1486626,766685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,,6.94,12.13,9.93,13.58,7.84,11.97,9.41,11.06,9.15,7.49,10.92,10.01,2.73,,6.53,10.70,7.70,7.58,9.12,10.90,17.09,,8.22,7.58,8.39,3.66
