m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.9344,,6.31,35.3,,,,,,,,,,
107.9138,,3,16.78,,,,,,,,,,
114.0551,,5.36,29.96,,,,,,,,,,
116.1988,,5.91,33.04,,,,,,,,,,
118.5144,,5.19,29.06,2,,,,,,,,,
131.0835,,12.71,71.1,,,,,,,,,,
133.1769,,3.17,17.74,,,,,,,,,,
140.9341,,6.66,37.26,,,,,,,,,,
149.1867,,3.13,17.51,,,,,,,,,,
169.6936,,4.17,23.33,2,,,,,,,,,
172.5406,,3.22,18.03,2,,,,,,,,,
189.501,,4.68,26.21,2,,,,,,,,,
191.0182,,3.38,18.89,,,,,,,,,,
203.1298,,4.83,27.01,,,,,,,,,,
233.0675,,9.11,50.99,,,,,,,,,,
272.5366,,4.67,26.13,2,,,,,,,,,
279.2369,,6.67,37.31,,,,,,,,,,
297.4963,,3.56,19.9,2,,,,,,,,,
302.0241,,2.84,15.87,,,,,,,,,,
303.7383,,2.83,15.85,,,,,,,,,,
312.9869,,7.91,44.24,,,,,,,,,,
342.4884,,2.89,16.19,2,,,,,,,,,
354.461,,5.86,32.8,2,,,,,,,,,
371.6813,,4.95,27.68,,,,,,,,,,
371.7103,,4.18,23.38,,,,,,,,,,
373.9298,,5.96,33.36,,,,,,,,,,
380.6143,,2.69,15.03,2,,,,,,,,,
385.5192,,3.88,21.73,2,,,,,,,,,
386.3711,,4.98,27.85,,,,,,,,,,
388.9198,,2.88,16.08,,,,,,,,,,
398.3562,,2.85,15.95,,,,,,,,,,
409.987,,2.76,15.45,,,,,,,,,,
415.6716,,4.34,24.27,,,,,,,,,,
433.1526,,3.27,18.28,,,,,,,,,,
438.0706,,7.54,42.17,,,,,,,,,,
458.8598,,3.25,18.18,,,,,,,,,,
474.6384,,2.69,15.03,,,,,,,,,,
481.0124,,3.52,19.68,,,,,,,,,,
483.3149,,8.12,45.44,,,,,,,,,,
530.3411,,3.17,17.76,,,,,,,,,,
541.7762,,3,16.81,,,,,,,,,,
550.6624,,2.74,15.33,,,,,,,,,,
559.4562,,3.85,21.56,,,,,,,,,,
567.9035,,3.18,17.81,,,,,,,,,,
576.688,,17.88,100,,,,,,,,,,
610.1425,,8.34,46.63,,,,,,,,,,
658.7829,,2.9,16.22,,,,,,,,,,
659.8917,,3.69,20.63,,,,,,,,,,
680.0046,,2.76,15.41,,,,,,,,,,
697.5464,,2.69,15.05,,,,,,,,,,
699.5699,,3.24,18.13,,,,,,,,,,
713.7074,,2.85,15.93,,,,,,,,,,
719.6056,,3.5,19.58,,,,,,,,,,
727.1619,,6.88,38.47,,,,,,,,,,
741.6402,,5.36,29.99,,,,,,,,,,
761.319,,7.75,43.36,,,,,,,,,,
777.2804,,4.17,23.31,,,,,,,,,,
783.8247,,9.02,50.44,,,,,,,,,,
785.3777,,11.69,65.37,,,,,,,,,,
787.0855,,2.71,15.14,,,,,,,,,,
804.0472,,2.83,15.85,,,,,,,,,,
850.1754,,2.92,16.32,,,,,,,,,,
867.305,,3.24,18.14,,,,,,,,,,
894.1617,,3.28,18.36,,,,,,,,,,
896.2437,,4.35,24.33,,,,,,,,,,
924.2173,,6.21,34.76,,,,,,,,,,
951.9445,,3.21,17.94,,,,,,,,,,
973.8589,,3.59,20.06,,,,,,,,,,
978.8994,,4.1,22.93,,,,,,,,,,
1034.6047,,3.06,17.13,,,,,,,,,,
1074.6405,,8.57,47.95,,,,,,,,,,
1099.2176,,4.69,26.22,,,,,,,,,,
1114.9803,,5.11,28.57,,,,,,,,,,
1127.1599,,4.31,24.1,,,,,,,,,,
1127.8677,,2.82,15.79,,,,,,,,,,
1131.1,,3.52,19.7,,,,,,,,,,
1164.6865,,3.04,16.99,,,,,,,,,,
1167.2871,,3.17,17.71,,,,,,,,,,
1182.0914,,2.84,15.9,,,,,,,,,,
1215.8726,,2.83,15.85,,,,,,,,,,
1251.6931,,2.69,15.03,,,,,,,,,,
1295.0009,,3.17,17.72,,,,,,,,,,
1297.0912,,8.07,45.16,,,,,,,,,,
1359.373,,3.01,16.81,,,,,,,,,,
1374.1891,,3.07,17.16,,,,,,,,,,
1382.8293,,8.41,47.02,,,,,,,,,,
1384.1205,,3.56,19.93,,,,,,,,,,
1419.2571,,3.94,22.03,,,,,,,,,,
1436.2999,,2.86,16,,,,,,,,,,
1443.8404,,13.16,73.6,,,,,,,,,,
1446.709,,10.37,58.01,,,,,,,,,,
1464.1347,,3.2,17.88,,,,,,,,,,
1494.3712,,9.5,53.16,,,,,,,,,,
1501.8252,,3.35,18.72,,,,,,,,,,
1585.3461,,4.63,25.9,,,,,,,,,,
1605.976,,2.7,15.11,,,,,,,,,,
1613.7983,,3.26,18.23,,,,,,,,,,
1648.3351,,2.83,15.85,,,,,,,,,,
1663.7752,,3.14,17.54,,,,,,,,,,
1697.6638,,3.67,20.52,,,,,,,,,,
