m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.9311,,38.14,100,,,,,,,,,,
101.9228,,4.07,10.67,,,,,,,,,,
101.9331,,22.76,59.67,,,,,,,,,,
101.9554,,3.9,10.23,,,,,,,,,,
102.6959,,3.25,8.51,2,,,,,,,,,
103.3945,,3.43,8.99,2,,,,,,,,,
104.4316,,7.69,20.17,2,,,,,,,,,
107.3901,,2.73,7.16,2,,,,,,,,,
111.593,,6.2,16.26,2,,,,,,,,,
114.0701,,2.45,6.42,,,,,,,,,,
115.9199,,20.66,54.18,,,,,,,,,,
120.6683,,2.45,6.42,2,,,,,,,,,
126.014,,2.65,6.94,,,,,,,,,,
129.4052,,3.46,9.07,2,,,,,,,,,
132.0309,,5.24,13.73,,,,,,,,,,
135.7043,,3.46,9.07,2,,,,,,,,,
142.6389,,3.94,10.32,2,,,,,,,,,
158.079,,5,13.12,,,,,,,,,,
166.6605,,4.18,10.97,2,,,,,,,,,
175.9885,,3.13,8.22,,,,,,,,,,
182.039,,2.44,6.41,,,,,,,,,,
187.4797,,2.15,5.64,2,,,,,,,,,
189.4005,,2.53,6.64,2,,,,,,,,,
189.4435,,2.79,7.31,2,,,,,,,,,
198.2926,,8.93,23.43,,,,,,,,,,
205.2285,,3.2,8.39,,,,,,,,,,
228.4389,,6.91,18.13,2,,,,,,,,,
233.6704,,2.43,6.37,2,,,,,,,,,
284.9777,,5.24,13.73,,,,,,,,,,
285.8392,,4.7,12.33,,,,,,,,,,
286.319,,6.25,16.38,,,,,,,,,,
287.5275,,5.46,14.33,2,,,,,,,,,
314.0834,,3.13,8.2,,,,,,,,,,
327.6621,,7.48,19.6,2,,,,,,,,,
330.7305,,2.14,5.61,,,,,,,,,,
360.2574,,2.45,6.41,,,,,,,,,,
363.23,,3.56,9.33,,,,,,,,,,
384.2132,,2.95,7.73,,,,,,,,,,
385.8419,,6.59,17.29,,,,,,,,,,
402.4513,,3.67,9.64,,,,,,,,,,
428.9028,,2.68,7.03,,,,,,,,,,
430.4405,,4.93,12.92,,,,,,,,,,
436.8402,,2.57,6.75,,,,,,,,,,
451.6188,,3.57,9.37,,,,,,,,,,
455.2897,,5.15,13.51,,,,,,,,,,
466.5668,,2.56,6.7,,,,,,,,,,
475.9359,,2.84,7.44,,,,,,,,,,
482.7495,,4.59,12.05,,,,,,,,,,
491.386,,3.99,10.46,,,,,,,,,,
493.1225,,7.23,18.97,,,,,,,,,,
496.4262,,2.68,7.04,,,,,,,,,,
497.9707,,5.78,15.16,,,,,,,,,,
520.2815,,2.57,6.75,,,,,,,,,,
529.0726,,4.03,10.56,,,,,,,,,,
538.2958,,3.04,7.98,,,,,,,,,,
546.0379,,3.81,10,,,,,,,,,,
549.7728,,8.03,21.05,,,,,,,,,,
555.519,,2.15,5.63,,,,,,,,,,
572.7772,,4.44,11.63,,,,,,,,,,
590.9463,,4.12,10.81,,,,,,,,,,
592.0855,,2.12,5.55,,,,,,,,,,
669.0314,,7.81,20.48,,,,,,,,,,
681.9067,,2.53,6.62,,,,,,,,,,
728.5886,,9.27,24.3,,,,,,,,,,
743.931,,4.8,12.58,,,,,,,,,,
759.9883,,5.57,14.59,,,,,,,,,,
775.386,,3.69,9.68,,,,,,,,,,
782.6657,,2.38,6.24,,,,,,,,,,
789.3338,,2.55,6.69,,,,,,,,,,
816.9885,,2.49,6.54,,,,,,,,,,
821.5135,,11.08,29.05,,,,,,,,,,
830.0647,,3.16,8.28,,,,,,,,,,
855.3429,,2.91,7.63,,,,,,,,,,
885.8329,,2.89,7.58,,,,,,,,,,
890.2203,,3.48,9.12,,,,,,,,,,
995.3529,,2.43,6.36,,,,,,,,,,
1052.5178,,3.72,9.76,,,,,,,,,,
1063.7822,,2.68,7.03,,,,,,,,,,
1070.0915,,2.35,6.17,,,,,,,,,,
1071.1819,,7.3,19.15,,,,,,,,,,
1080.1859,,9.8,25.71,,,,,,,,,,
1148.8656,,3.38,8.86,,,,,,,,,,
1160.5213,,2.15,5.63,,,,,,,,,,
1196.5436,,5.13,13.45,,,,,,,,,,
1277.3591,,2.33,6.12,,,,,,,,,,
1283.3075,,4.11,10.77,,,,,,,,,,
1293.6898,,3.02,7.91,,,,,,,,,,
1329.6738,,2.62,6.88,,,,,,,,,,
1347.8717,,6.78,17.79,,,,,,,,,,
1356.8976,,4.11,10.78,,,,,,,,,,
1361.4273,,3.49,9.15,,,,,,,,,,
1379.1301,,2.16,5.67,,,,,,,,,,
1427.8239,,2.34,6.13,,,,,,,,,,
1435.7107,,3.39,8.89,,,,,,,,,,
1451.4863,,2.25,5.9,,,,,,,,,,
1502.1636,,5.68,14.88,,,,,,,,,,
1539.2565,,2.5,6.55,,,,,,,,,,
1585.1343,,3.8,9.97,,,,,,,,,,
1614.4973,,2.89,7.58,,,,,,,,,,
1616.2036,,2.16,5.67,,,,,,,,,,
