m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.6391,,1.93,27.51,2,,,,,,,,,
100.9272,,4.09,58.33,,,,,,,,,,
104.41,,2.45,34.87,2,,,,,,,,,
105.5087,,3.18,45.37,2,,,,,,,,,
119.1188,,3.52,50.2,,,,,,,,,,
122.7159,,2.86,40.77,2,,,,,,,,,
139.5083,,5.36,76.45,2,,,,,,,,,
145.7099,,3.11,44.29,2,,,,,,,,,
148.395,,3.51,50.02,2,,,,,,,,,
153.4009,,2,28.51,2,,,,,,,,,
168.476,,4.17,59.42,2,,,,,,,,,
177.5029,,2.23,31.79,2,,,,,,,,,
180.7181,,2.96,42.27,2,,,,,,,,,
193.8086,,1.92,27.35,,,,,,,,,,
198.9642,,2.67,38.08,,,,,,,,,,
203.0154,,3.69,52.61,,,,,,,,,,
203.9353,,1.96,27.94,,,,,,,,,,
208.7738,,2.55,36.4,,,,,,,,,,
232.8443,,2.43,34.71,,,,,,,,,,
243.8886,,2.17,30.93,,,,,,,,,,
245.7427,,4.78,68.13,2,,,,,,,,,
302.169,,2.27,32.29,,,,,,,,,,
331.1149,,1.97,28.14,,,,,,,,,,
347.1988,,3.77,53.68,,,,,,,,,,
359.5983,,5.42,77.31,2,,,,,,,,,
379.5452,,4.64,66.08,2,,,,,,,,,
397.1247,,2.17,30.9,,,,,,,,,,
398.2245,,2.9,41.41,,,,,,,,,,
409.794,,1.93,27.44,,,,,,,,,,
414.0974,,1.92,27.4,,,,,,,,,,
435.5912,,2.8,39.95,,,,,,,,,,
444.1204,,2.24,31.89,,,,,,,,,,
451.8677,,2.03,29,,,,,,,,,,
455.9172,,3.79,53.98,,,,,,,,,,
473.4789,,2.51,35.79,,,,,,,,,,
478.4482,,2.78,39.67,,,,,,,,,,
492.4632,,2.19,31.25,,,,,,,,,,
499.1495,,3.05,43.51,,,,,,,,,,
512.4826,,2.38,33.86,,,,,,,,,,
516.402,,1.95,27.81,,,,,,,,,,
522.7352,,2.42,34.46,,,,,,,,,,
527.4116,,1.9,27.13,,,,,,,,,,
534.9597,,2.26,32.18,,,,,,,,,,
536.9661,,2.92,41.58,,,,,,,,,,
553.5618,,3.51,50.05,,,,,,,,,,
565.8065,,3.34,47.62,,,,,,,,,,
566.7094,,3.08,43.86,,,,,,,,,,
581.3317,,2.04,29.1,,,,,,,,,,
591.9748,,1.94,27.72,,,,,,,,,,
594.5789,,2.36,33.68,,,,,,,,,,
646.7215,,3.56,50.82,,,,,,,,,,
650.4924,,2.19,31.27,2,,,,,,,,,
651.007,,2.51,35.81,2,,,,,,,,,
659.9888,,2.64,37.65,,,,,,,,,,
664.6082,,4.54,64.73,,,,,,,,,,
677.6303,,2.93,41.74,,,,,,,,,,
712.6757,,6.14,87.5,,,,,,,,,,
714.9583,,2.44,34.75,,,,,,,,,,
734.9644,,2.21,31.56,,,,,,,,,,
738.0462,,2.18,31.08,,,,,,,,,,
744.5426,,3.39,48.33,,,,,,,,,,
746.7183,,2.17,30.99,,,,,,,,,,
795.1395,,2.67,38.07,,,,,,,,,,
809.9841,,2.1,29.92,,,,,,,,,,
854.0195,,3.46,49.28,,,,,,,,,,
856.1321,,2.23,31.81,,,,,,,,,,
902.7907,,3.71,52.83,,,,,,,,,,
916.7226,,6.91,98.55,,,,,,,,,,
918.6488,,3,42.81,,,,,,,,,,
921.7743,,1.95,27.8,,,,,,,,,,
945.9297,,2.27,32.39,,,,,,,,,,
962.724,,2.92,41.62,,,,,,,,,,
971.3005,,4.38,62.4,,,,,,,,,,
983.3374,,2.83,40.4,,,,,,,,,,
1000.7251,,2.27,32.34,,,,,,,,,,
1013.4241,,3.29,46.84,,,,,,,,,,
1025.0914,,2,28.52,,,,,,,,,,
1033.3226,,2.41,34.3,,,,,,,,,,
1041.1514,,2.41,34.41,,,,,,,,,,
1054.4648,,2.62,37.3,,,,,,,,,,
1122.6405,,2.57,36.69,,,,,,,,,,
1174.7012,,5.73,81.74,,,,,,,,,,
1204.1218,,3,42.78,,,,,,,,,,
1212.6495,,4.5,64.21,,,,,,,,,,
1222.082,,6.5,92.71,,,,,,,,,,
1226.2962,,1.91,27.25,,,,,,,,,,
1234.389,,1.95,27.85,,,,,,,,,,
1267.5533,,2.52,35.93,,,,,,,,,,
1268.7096,,3.26,46.47,,,,,,,,,,
1285.7854,,2.1,29.99,,,,,,,,,,
1327.0481,,3.08,43.97,,,,,,,,,,
1368.7251,,7.02,100,,,,,,,,,,
1398.3049,,4.4,62.68,,,,,,,,,,
1401.3916,,2,28.5,,,,,,,,,,
1427.5081,,2.09,29.75,,,,,,,,,,
1434.5968,,2.01,28.6,,,,,,,,,,
1454.5234,,3.1,44.22,,,,,,,,,,
1503.3903,,2.32,33.02,,,,,,,,,,
1535.1478,,2.46,35.02,,,,,,,,,,
1588.6708,,1.92,27.43,,,,,,,,,,
