m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
108.0701,,1.95,19.46,,,,,,,,,,
109.0383,,2.45,24.43,,,,,,,,,,
110.5301,,1.81,18.03,2,,,,,,,,,
116.5638,,1.67,16.64,2,,,,,,,,,
117.045,,2.69,26.86,,,,,,,,,,
120.6347,,2.08,20.75,2,,,,,,,,,
122.0593,,2.93,29.29,,,,,,,,,,
123.0434,,4.9,48.89,,,,,,,,,,
123.0937,,2.67,26.67,,,,,,,,,,
125.0781,,1.69,16.85,,,,,,,,,,
125.0944,,2.3,22.94,,,,,,,,,,
125.6091,,1.71,17.07,2,,,,,,,,,
129.4672,,1.66,16.55,2,,,,,,,,,
131.7811,,3.6,35.92,,,,,,,,,,
135.0421,,4.22,42.14,,,,,,,,,,
139.0009,,4.67,46.6,,,,,,,,,,
145.8896,,4.36,43.53,,,,,,,,,,
149.0565,,2.67,26.63,,,,,,,,,,
150.0455,,2.24,22.32,,,,,,,,,,
156.0259,,3.64,36.36,,,,,,,,,,
162.8912,,2.99,29.9,,,,,,,,,,
168.892,,2.19,21.83,,,,,,,,,,
179.0796,,3.24,32.34,,,,,,,,,,
191.0914,,2.79,27.81,,,,,,,,,,
207.2165,,4.66,46.49,,,,,,,,,,
220.3319,,1.85,18.48,2,,,,,,,,,
245.9655,,1.96,19.61,,,,,,,,,,
255.6528,,3.2,31.96,2,,,,,,,,,
274.6613,,1.66,16.62,2,,,,,,,,,
284.4095,,3.83,38.28,2,,,,,,,,,
287.7376,,1.69,16.83,,,,,,,,,,
291.4094,,3.8,37.94,2,,,,,,,,,
292.564,,2.05,20.5,2,,,,,,,,,
300.1706,,2.78,27.8,,,,,,,,,,
313.5752,,2.29,22.91,2,,,,,,,,,
321.5051,,2.52,25.13,2,,,,,,,,,
322.0857,,2.28,22.74,,,,,,,,,,
326.19,,2.68,26.76,,,,,,,,,,
344.7777,,2.58,25.74,,,,,,,,,,
351.313,,3.51,35.02,,,,,,,,,,
360.3656,,1.93,19.3,,,,,,,,,,
366.8852,,3.02,30.13,,,,,,,,,,
407.0482,,2.41,24.03,,,,,,,,,,
421.5596,,2.98,29.71,2,,,,,,,,,
440.7956,,3.15,31.46,,,,,,,,,,
448.6766,,1.95,19.45,,,,,,,,,,
517.7361,,3.27,32.64,,,,,,,,,,
521.3154,,1.89,18.84,,,,,,,,,,
537.8973,,2.41,24.03,,,,,,,,,,
545.7127,,2.79,27.83,,,,,,,,,,
560.8876,,2.07,20.68,,,,,,,,,,
578.8405,,3.45,34.4,,,,,,,,,,
587.2022,,4.3,42.9,,,,,,,,,,
588.7724,,2.22,22.21,,,,,,,,,,
632.8885,,4.11,41.06,,,,,,,,,,
642.0524,,2.33,23.31,,,,,,,,,,
642.4858,,10.02,100,,,,,,,,,,
701.6552,,2.14,21.39,,,,,,,,,,
706.8497,,3.32,33.19,,,,,,,,,,
706.9802,,2.95,29.41,,,,,,,,,,
718.1831,,1.92,19.14,,,,,,,,,,
729.1827,,2.7,27,,,,,,,,,,
731.0443,,2.51,25.07,,,,,,,,,,
732.1493,,2.56,25.6,,,,,,,,,,
755.648,,1.96,19.61,,,,,,,,,,
776.2839,,2.16,21.57,,,,,,,,,,
815.3517,,2.76,27.57,,,,,,,,,,
824.3723,,2.4,23.93,,,,,,,,,,
830.0691,,1.66,16.6,,,,,,,,,,
835.4766,,3.3,32.99,,,,,,,,,,
849.8714,,1.66,16.58,,,,,,,,,,
858.7387,,2.08,20.74,,,,,,,,,,
864.6015,,4.29,42.83,,,,,,,,,,
874.1373,,1.97,19.62,,,,,,,,,,
886.2915,,2.22,22.2,,,,,,,,,,
935.0056,,2.48,24.79,,,,,,,,,,
952.9678,,3.41,34.05,,,,,,,,,,
1015.1431,,2.56,25.55,,,,,,,,,,
1022.0179,,2.86,28.57,,,,,,,,,,
1052.124,,2.28,22.76,,,,,,,,,,
1140.8284,,2.36,23.56,,,,,,,,,,
1166.4821,,3.34,33.35,,,,,,,,,,
1286.0645,,3.14,31.34,,,,,,,,,,
1313.1419,,2.44,24.41,,,,,,,,,,
1331.2717,,2.28,22.73,,,,,,,,,,
1333.1591,,1.81,18.03,,,,,,,,,,
1363.294,,3.11,31.06,,,,,,,,,,
1397.3271,,1.84,18.34,,,,,,,,,,
1398.2394,,1.99,19.88,,,,,,,,,,
1405.1459,,2.07,20.66,,,,,,,,,,
1420.7783,,3.05,30.42,,,,,,,,,,
1423.3559,,1.97,19.64,,,,,,,,,,
1435.6517,,2.3,22.97,,,,,,,,,,
1448.8627,,2.22,22.19,,,,,,,,,,
1495.3886,,2.22,22.2,,,,,,,,,,
1532.5165,,2.17,21.7,,,,,,,,,,
1572.8997,,2.18,21.73,,,,,,,,,,
1635.3141,,1.98,19.78,,,,,,,,,,
1641.6198,,1.98,19.79,,,,,,,,,,
1659.7613,,1.79,17.84,,,,,,,,,,
