m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.978,,3.12,28.3,,,,,,,,,,
101.2472,,5,45.32,,,,,,,,,,
101.9319,,2.81,25.48,,,,,,,,,,
102.9756,,2.72,24.7,,,,,,,,,,
109.7411,,2.7,24.47,2,,,,,,,,,
113.8359,,3.46,31.38,,,,,,,,,,
117.0191,,3.3,29.92,,,,,,,,,,
120.1494,,3.4,30.78,,,,,,,,,,
121.5231,,2.86,25.96,2,,,,,,,,,
125.6676,,8.62,78.16,2,,,,,,,,,
127.0016,,2.41,21.89,,,,,,,,,,
127.5592,,4.33,39.23,2,,,,,,,,,
142.2363,,3.64,33.02,,,,,,,,,,
145.9902,,3.06,27.71,,,,,,,,,,
191.0003,,2.73,24.71,,,,,,,,,,
193.1608,,8.85,80.2,,,,,,,,,,
195.3345,,6.71,60.83,2,,,,,,,,,
204.4381,,2.74,24.82,2,,,,,,,,,
223.8751,,3.01,27.27,,,,,,,,,,
237.0412,,3.3,29.91,,,,,,,,,,
238.4184,,11.03,100,2,,,,,,,,,
250.7161,,2.55,23.09,2,,,,,,,,,
258.6928,,2.63,23.81,2,,,,,,,,,
270.2521,,3.23,29.26,,,,,,,,,,
274.2405,,3.93,35.6,,,,,,,,,,
297.3441,,2.7,24.51,,,,,,,,,,
308.3993,,2.87,25.99,2,,,,,,,,,
313.1662,,2.68,24.25,,,,,,,,,,
329.7647,,4.33,39.23,,,,,,,,,,
353.5009,,4.17,37.78,2,,,,,,,,,
380.5892,,3.7,33.55,2,,,,,,,,,
387.821,,2.7,24.47,,,,,,,,,,
400.2576,,2.52,22.84,,,,,,,,,,
422.6648,,3.82,34.62,,,,,,,,,,
455.8576,,4.11,37.28,,,,,,,,,,
456.0746,,3.2,29,,,,,,,,,,
456.5932,,3.14,28.46,,,,,,,,,,
457.6878,,2.85,25.79,,,,,,,,,,
477.9758,,4.42,40.06,,,,,,,,,,
481.3528,,2.7,24.51,,,,,,,,,,
483.7709,,4.84,43.91,,,,,,,,,,
483.9867,,4.7,42.64,,,,,,,,,,
486.709,,4.04,36.58,,,,,,,,,,
495.7701,,4.64,42.05,,,,,,,,,,
509.1745,,6.3,57.09,,,,,,,,,,
524.0846,,10.03,90.87,,,,,,,,,,
525.1647,,3.38,30.62,,,,,,,,,,
543.8578,,4.85,43.98,,,,,,,,,,
545.3633,,3.76,34.05,,,,,,,,,,
547.1621,,3.55,32.14,,,,,,,,,,
552.8487,,4.71,42.71,,,,,,,,,,
576.9348,,2.71,24.61,,,,,,,,,,
608.4615,,6.4,58.04,,,,,,,,,,
648.3395,,3.5,31.76,,,,,,,,,,
654.5784,,4.43,40.11,,,,,,,,,,
663.4038,,2.54,22.99,,,,,,,,,,
672.3178,,3.32,30.11,,,,,,,,,,
686.2194,,6.66,60.37,,,,,,,,,,
695.1797,,3.02,27.34,,,,,,,,,,
721.1858,,4.04,36.62,,,,,,,,,,
754.3364,,3.41,30.93,,,,,,,,,,
757.845,,5.03,45.62,,,,,,,,,,
766.1347,,4.01,36.34,,,,,,,,,,
767.7939,,6.36,57.64,,,,,,,,,,
804.3244,,5.86,53.11,,,,,,,,,,
805.2121,,2.57,23.29,,,,,,,,,,
805.9925,,3.46,31.36,,,,,,,,,,
819.0525,,3.71,33.6,,,,,,,,,,
906.2355,,5.98,54.19,,,,,,,,,,
907.1173,,3.84,34.84,,,,,,,,,,
962.1706,,5.91,53.59,,,,,,,,,,
991.1537,,3.67,33.29,,,,,,,,,,
1018.6122,,4.5,40.8,,,,,,,,,,
1033.9854,,2.71,24.58,,,,,,,,,,
1081.2282,,2.68,24.31,,,,,,,,,,
1116.764,,4.25,38.49,,,,,,,,,,
1124.5378,,3.89,35.25,,,,,,,,,,
1134.5026,,3.22,29.15,,,,,,,,,,
1143.9176,,7.39,67.01,,,,,,,,,,
1151.9785,,2.91,26.34,,,,,,,,,,
1164.8994,,3.93,35.64,,,,,,,,,,
1179.1663,,2.81,25.44,,,,,,,,,,
1179.6169,,3.15,28.52,,,,,,,,,,
1214.3446,,4.72,42.79,,,,,,,,,,
1221.2793,,6.26,56.75,,,,,,,,,,
1228.0927,,5.15,46.67,,,,,,,,,,
1232.3789,,2.87,26.03,,,,,,,,,,
1235.264,,2.8,25.38,,,,,,,,,,
1241.97,,3.3,29.93,,,,,,,,,,
1269.1193,,3.69,33.44,,,,,,,,,,
1294.6056,,5.2,47.17,,,,,,,,,,
1301.0014,,3.62,32.83,,,,,,,,,,
1397.8354,,2.97,26.94,,,,,,,,,,
1443.967,,2.96,26.79,,,,,,,,,,
1460.3442,,3.53,32.03,,,,,,,,,,
1462.3833,,2.7,24.47,,,,,,,,,,
1554.3679,,6.36,57.66,,,,,,,,,,
1582.6057,,4.51,40.9,,,,,,,,,,
1639.3947,,2.82,25.6,,,,,,,,,,
1642.7642,,4.57,41.41,,,,,,,,,,
