m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
111.506,,4.45,29.43,2,,,,,,,,,
112.2986,,5.23,34.64,,,,,,,,,,
113.7317,,3.51,23.21,2,,,,,,,,,
114.6131,,3.23,21.41,2,,,,,,,,,
122.1792,,4.67,30.94,,,,,,,,,,
129.6231,,5.79,38.31,2,,,,,,,,,
141.3752,,10.68,70.7,2,,,,,,,,,
142.2649,,15.11,100,,,,,,,,,,
143.8855,,4.17,27.61,,,,,,,,,,
145.0413,,6.24,41.32,,,,,,,,,,
155.963,,7.7,50.99,,,,,,,,,,
163.6274,,9.84,65.12,2,,,,,,,,,
164.0738,,3.18,21.03,,,,,,,,,,
166.0498,,5.71,37.79,,,,,,,,,,
189.0458,,2.86,18.95,,,,,,,,,,
207.9901,,5.28,34.96,,,,,,,,,,
216.1705,,3.71,24.55,,,,,,,,,,
224.3265,,4.34,28.75,2,,,,,,,,,
237.1712,,2.92,19.33,,,,,,,,,,
239.22,,3.09,20.43,,,,,,,,,,
241.6465,,3.09,20.45,2,,,,,,,,,
255.4141,,7.37,48.8,2,,,,,,,,,
263.8947,,5.18,34.28,,,,,,,,,,
269.7449,,3,19.89,,,,,,,,,,
278.5157,,4.59,30.37,2,,,,,,,,,
285.1653,,3.38,22.34,,,,,,,,,,
309.5343,,4.32,28.58,2,,,,,,,,,
323.5659,,10.67,70.66,2,,,,,,,,,
334.0505,,11.26,74.54,,,,,,,,,,
351.6235,,2.89,19.11,2,,,,,,,,,
371.9783,,2.9,19.2,,,,,,,,,,
373.6588,,4.34,28.7,,,,,,,,,,
375.4901,,3.82,25.27,2,,,,,,,,,
377.3813,,3.18,21.05,,,,,,,,,,
385.8038,,3.78,25.02,,,,,,,,,,
387.4408,,3.73,24.71,,,,,,,,,,
387.5804,,4.13,27.37,2,,,,,,,,,
396.5099,,3.33,22.07,2,,,,,,,,,
396.6975,,2.91,19.25,,,,,,,,,,
404.6407,,12.33,81.61,,,,,,,,,,
406.49,,4.56,30.18,,,,,,,,,,
421.3757,,4.26,28.2,,,,,,,,,,
423.9686,,3.8,25.15,,,,,,,,,,
435.4759,,3.21,21.22,,,,,,,,,,
439.821,,3.73,24.68,,,,,,,,,,
452.9612,,4.17,27.63,,,,,,,,,,
466.6715,,4.71,31.18,,,,,,,,,,
476.9917,,3.18,21.02,,,,,,,,,,
532.1148,,3.15,20.87,,,,,,,,,,
551.2549,,3.84,25.45,,,,,,,,,,
562.9176,,3.06,20.23,,,,,,,,,,
578.8626,,2.86,18.93,,,,,,,,,,
599.3994,,5.17,34.22,,,,,,,,,,
653.6283,,5.84,38.66,,,,,,,,,,
657.5959,,8.06,53.39,,,,,,,,,,
662.1273,,3.18,21.08,,,,,,,,,,
697.5635,,4.17,27.6,,,,,,,,,,
699.9497,,6.39,42.33,,,,,,,,,,
704.0965,,3.19,21.12,,,,,,,,,,
717.7526,,3.5,23.17,,,,,,,,,,
728.3707,,4.28,28.33,,,,,,,,,,
734.7252,,3.72,24.61,,,,,,,,,,
744.8743,,6.57,43.51,,,,,,,,,,
761.802,,3.7,24.47,,,,,,,,,,
767.9242,,5.89,38.99,,,,,,,,,,
778.6778,,2.91,19.29,,,,,,,,,,
790.4156,,8.01,53.02,,,,,,,,,,
795.2478,,3.06,20.26,,,,,,,,,,
839.4178,,3.83,25.33,,,,,,,,,,
943.0617,,3.18,21.04,,,,,,,,,,
949.6777,,6.01,39.79,,,,,,,,,,
964.3008,,9.83,65.07,,,,,,,,,,
1052.3406,,3.78,25.02,,,,,,,,,,
1078.5557,,4.52,29.89,,,,,,,,,,
1080.0303,,3.42,22.64,,,,,,,,,,
1092.2163,,4.18,27.68,,,,,,,,,,
1094.3073,,9.34,61.86,,,,,,,,,,
1112.3067,,3.84,25.42,,,,,,,,,,
1147.2377,,5.19,34.36,,,,,,,,,,
1147.2755,,3.17,20.97,,,,,,,,,,
1156.6998,,3.81,25.2,,,,,,,,,,
1193.4431,,4.68,30.99,,,,,,,,,,
1217.1004,,3.5,23.17,,,,,,,,,,
1279.552,,3.21,21.23,,,,,,,,,,
1280.76,,3.54,23.45,,,,,,,,,,
1315.5731,,6.91,45.71,,,,,,,,,,
1322.2906,,3.8,25.13,,,,,,,,,,
1338.0012,,8.67,57.43,,,,,,,,,,
1355.329,,4.04,26.73,,,,,,,,,,
1375.6821,,3.33,22.08,,,,,,,,,,
1384.7285,,2.91,19.28,,,,,,,,,,
1442.6254,,3.61,23.91,,,,,,,,,,
1508.5955,,3.5,23.2,,,,,,,,,,
1555.9882,,3.67,24.33,,,,,,,,,,
1561.0036,,4.24,28.06,,,,,,,,,,
1617.9482,,7.65,50.61,,,,,,,,,,
1649.8238,,4.99,33.01,,,,,,,,,,
1655.4709,,9.19,60.81,,,,,,,,,,
1656.2862,,3.44,22.79,,,,,,,,,,
1692.3166,,3.09,20.49,,,,,,,,,,
