m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
107.0358,,63.69,0.02,,,,,,,,,,
111.0059,,11.28,0,,,,,,,,,,
111.0813,,31,0.01,,,,,,,,,,
119.0335,,6.03,0,,,,,,,,,,
120.9689,,29.88,0.01,,,,,,,,,,
130.0893,,7.74,0,,,,,,,,,,
131.0708,,6.11,0,,,,,,,,,,
134.0215,,18.3,0.01,,,,,,,,,,
134.0468,,22693.81,8.56,1,,,,,,,,,
135.0492,,182.01,0.07,1,,,,,,,,,
136.9636,,112.07,0.04,,,,,,,,,,
138.0945,,7.7,0,,,,,,,,,,
142.1224,,6.07,0,,,,,,,,,,
144.0642,,11.47,0,,,,,,,,,,
144.1017,,6.38,0,,,,,,,,,,
146.985,,85.67,0.03,,,,,,,,,,
150.9791,,70.98,0.03,,,,,,,,,,
158.8916,,24.46,0.01,,,,,,,,,,
158.9251,,265097.81,100,,,,,,,,,,
158.9806,,5.91,0,,,,,,,,,,
159.2989,,15.49,0.01,,,,,,,,,,
159.3097,,18.68,0.01,2,,,,,,,,,
159.3596,,10.64,0,2,,,,,,,,,
159.37,,9.02,0,2,,,,,,,,,
159.3918,,17.93,0.01,2,,,,,,,,,
159.4193,,7.76,0,2,,,,,,,,,
159.453,,30.23,0.01,2,,,,,,,,,
159.4727,,9.19,0,2,,,,,,,,,
159.4827,,11.74,0,2,,,,,,,,,
159.5266,,12.2,0,2,,,,,,,,,
159.5779,,13.22,0,2,,,,,,,,,
159.6214,,9.18,0,2,,,,,,,,,
159.6607,,6.58,0,2,,,,,,,,,
159.7084,,9.7,0,2,,,,,,,,,
159.8317,,6.07,0,,,,,,,,,,
159.9287,,81.87,0.03,,,,,,,,,,
160.2421,,6.3,0,,,,,,,,,,
168.9898,,11.56,0,,,,,,,,,,
173.0805,,5.94,0,,,,,,,,,,
174.9795,,6121.16,2.31,1,,,,,,,,,
175.9829,,47.71,0.02,1,,,,,,,,,
176.9356,,26996.17,10.18,,,,,,,,,,
183.2093,,6.22,0,,,,,,,,,,
191.0905,,7.13,0,,,,,,,,,,
192.0983,,6.35,0,,,,,,,,,,
192.99,,598.89,0.23,,,,,,,,,,
194.3935,,7.39,0,2,,,,,,,,,
196.0004,,10.58,0,,,,,,,,,,
211.0001,,141.07,0.05,,,,,,,,,,
212.0563,,9.23,0,,,,,,,,,,
214.0126,,1689.64,0.64,1,,,,,,,,,
215.0137,,10.22,0,1,,,,,,,,,
220.88,,414.69,0.16,,,,,,,,,,
224.933,,8.4,0,,,,,,,,,,
226.9516,,52.08,0.02,,,,,,,,,,
230.9423,,10.79,0,,,,,,,,,,
236.9327,,57.27,0.02,,,,,,,,,,
238.891,,14047.51,5.3,,,,,,,,,,
242.9451,,28.6,0.01,,,,,,,,,,
244.1543,,7.93,0,,,,,,,,,,
254.9456,,1236.05,0.47,,,,,,,,,,
256.9011,,70.11,0.03,,,,,,,,,,
272.2196,,6.82,0,,,,,,,,,,
272.8916,,30.04,0.01,,,,,,,,,,
272.9565,,28771.97,10.85,1,,,,,,,,,
273.3316,,6.02,0,,,,,,,,,,
273.959,,199.63,0.08,1,,,,,,,,,
275.9677,,133.42,0.05,,,,,,,,,,
290.9661,,926,0.35,,,,,,,,,,
292.0216,,45.7,0.02,,,,,,,,,,
293.9793,,13.43,0.01,,,,,,,,,,
310.0333,,1405.44,0.53,1,,,,,,,,,
311.0363,,22.72,0.01,1,,,,,,,,,
314.8832,,7.44,0,,,,,,,,,,
328.0441,,13131.26,4.95,1,,,,,,,,,
329.0461,,230.47,0.09,1,,,,,,,,,
334.9114,,579.45,0.22,,,,,,,,,,
346.0541,,696.74,0.26,,,,,,,,,,
352.9219,,781.96,0.29,1,,,,,,,,,
353.9224,,6.01,0,1,,,,,,,,,
370.9319,,364.49,0.14,,,,,,,,,,
371.9914,,14.84,0.01,,,,,,,,,,
389.9993,,483.39,0.18,,,,,,,,,,
407.8995,,10.62,0,,,,,,,,,,
407.955,,9.98,0,,,,,,,,,,
408.0106,,49168.36,18.55,1,,,,,,,,,
408.6036,,6.47,0,,,,,,,,,,
408.8393,,6.76,0,,,,,,,,,,
409.0128,,592,0.22,1,,,,,,,,,
425.9766,,9.04,0,,,,,,,,,,
426.0208,,24768.05,9.34,1,,,,,,,,,
427.0232,,342.74,0.13,1,,,,,,,,,
469.9644,,350.44,0.13,,,,,,,,,,
487.9755,,2495.2,0.94,1,,,,,,,,,
488.9799,,33.86,0.01,1,,,,,,,,,
505.9861,,1934.26,0.73,1,,,,,,,,,
506.9894,,18.39,0.01,1,,,,,,,,,
565.3928,,6.72,0,,,,,,,,,,
1373.6531,,6.76,0,,,,,,,,,,
1545.9377,,5.81,0,,,,,,,,,,
