m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
134.0468,,130.58,1.29,,,,,,,,,,
143.126,,7.02,0.07,,,,,,,,,,
156.9434,,6.94,0.07,,,,,,,,,,
158.9251,,193.28,1.92,,,,,,,,,,
174.981,,26.07,0.26,,,,,,,,,,
176.9378,,15.79,0.16,,,,,,,,,,
191.0108,,10.8,0.11,,,,,,,,,,
192.9899,,7.39,0.07,,,,,,,,,,
208.0363,,6.94,0.07,,,,,,,,,,
212.9752,,13,0.13,,,,,,,,,,
214.0101,,9.52,0.09,,,,,,,,,,
260.9911,,30.23,0.3,,,,,,,,,,
270.9785,,31.41,0.31,,,,,,,,,,
272.9571,,66.42,0.66,,,,,,,,,,
276.9507,,14.8,0.15,,,,,,,,,,
290.9635,,14.37,0.14,,,,,,,,,,
328.0444,,203.76,2.02,1,,,,,,,,,
329.0475,,17.54,0.17,1,,,,,,,,,
339.0765,,236.03,2.34,,,,,,,,,,
346.0499,,26.17,0.26,,,,,,,,,,
352.9231,,10.07,0.1,,,,,,,,,,
357.0875,,157.95,1.57,,,,,,,,,,
382.5534,,9.14,0.09,2,,,,,,,,,
385.047,,14.98,0.15,,,,,,,,,,
401.0249,,8.18,0.08,,,,,,,,,,
408.0103,,2134.13,21.16,1,,,,,,,,,
408.1167,,7.84,0.08,,,,,,,,,,
409.0112,,30.63,0.3,1,,,,,,,,,
419.0428,,294.82,2.92,1,,,,,,,,,
420.0408,,8.69,0.09,1,,,,,,,,,
421.0798,,30.87,0.31,,,,,,,,,,
425.9531,,6.91,0.07,,,,,,,,,,
426.0199,,1663.51,16.5,1,,,,,,,,,
427.0224,,31.14,0.31,1,,,,,,,,,
436.5749,,8.13,0.08,,,,,,,,,,
437.0523,,146.84,1.46,,,,,,,,,,
439.0929,,91.9,0.91,,,,,,,,,,
457.1029,,49.53,0.49,,,,,,,,,,
469.9611,,15.34,0.15,,,,,,,,,,
487.976,,102.91,1.02,1,,,,,,,,,
488.9814,,7.92,0.08,1,,,,,,,,,
501.0452,,22.58,0.22,,,,,,,,,,
505.9847,,68.13,0.68,,,,,,,,,,
508.0245,,87.02,0.86,,,,,,,,,,
510.0753,,85.41,0.85,,,,,,,,,,
519.0584,,946.37,9.38,1,,,,,,,,,
519.1343,,7.65,0.08,,,,,,,,,,
520.0601,,23.35,0.23,1,,,,,,,,,
526.0349,,81.15,0.8,,,,,,,,,,
537.0701,,286.32,2.84,,,,,,,,,,
584.7351,,7.28,0.07,,,,,,,,,,
590.0416,,8.41,0.08,,,,,,,,,,
599.021,,31.01,0.31,,,,,,,,,,
618.0357,,72.71,0.72,,,,,,,,,,
631.0507,,22.15,0.22,,,,,,,,,,
633.0826,,19.96,0.2,,,,,,,,,,
652.8834,,30.65,0.3,,,,,,,,,,
664.6285,,6.78,0.07,,,,,,,,,,
668.1302,,40.72,0.4,,,,,,,,,,
686.1419,,59.24,0.59,,,,,,,,,,
713.0483,,13.84,0.14,,,,,,,,,,
731.0667,,260.51,2.58,1,,,,,,,,,
732.0738,,13.1,0.13,1,,,,,,,,,
732.124,,8.76,0.09,,,,,,,,,,
748.0876,,21.23,0.21,,,,,,,,,,
766.1043,,387.63,3.84,1,,,,,,,,,
767.1095,,18.6,0.18,1,,,,,,,,,
768.1441,,125.05,1.24,,,,,,,,,,
786.1547,,563.07,5.58,1,,,,,,,,,
787.1583,,33.55,0.33,1,,,,,,,,,
848.1101,,212.74,2.11,1,,,,,,,,,
849.1137,,14.97,0.15,1,,,,,,,,,
866.0157,,10.57,0.1,,,,,,,,,,
866.1222,,10084.38,100,,,,,,,,,,
866.4843,,13.37,0.13,,,,,,,,,,
866.5615,,17.83,0.18,1,,,,,,,,,
866.6598,,8.09,0.08,,,,,,,,,,
866.7089,,11.57,0.11,2,,,,,,,,,
866.7672,,9.05,0.09,,,,,,,,,,
866.8238,,14.65,0.15,2,,,,,,,,,
866.8973,,12.03,0.12,2,,,,,,,,,
866.9542,,10.23,0.1,1,,,,,,,,,
867.1248,,380.61,3.77,,,,,,,,,,
867.1925,,11.04,0.11,2,,,,,,,,,
867.2433,,20.21,0.2,,,,,,,,,,
867.3327,,11.89,0.12,2,,,,,,,,,
867.4077,,7.64,0.08,2,,,,,,,,,
867.5445,,12.62,0.13,1,,,,,,,,,
867.8794,,8.82,0.09,2,,,,,,,,,
867.9549,,8.25,0.08,1,,,,,,,,,
868.0141,,7.35,0.07,,,,,,,,,,
868.2144,,10.16,0.1,,,,,,,,,,
868.3322,,6.87,0.07,,,,,,,,,,
868.4019,,8.15,0.08,2,,,,,,,,,
994.8085,,10.18,0.1,,,,,,,,,,
1047.8869,,10.67,0.11,,,,,,,,,,
1084.1023,,12.37,0.12,,,,,,,,,,
1089.004,,9.16,0.09,,,,,,,,,,
1165.6751,,6.93,0.07,,,,,,,,,,
1309.0214,,9.79,0.1,,,,,,,,,,
