m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.0098,,2.89,16.12,,,,,,,,,,
100.0167,,9.41,52.56,,,,,,,,,,
100.0409,,6.51,36.38,,,,,,,,,,
100.0634,,17.9,100,2,,,,,,,,,
100.0857,,4.95,27.64,,,,,,,,,,
100.1183,,4.54,25.36,,,,,,,,,,
100.1244,,2.62,14.64,,,,,,,,,,
100.1594,,4.76,26.57,,,,,,,,,,
100.1781,,6.02,33.63,,,,,,,,,,
100.2298,,3.97,22.16,,,,,,,,,,
100.251,,7.94,44.36,,,,,,,,,,
100.2723,,3.57,19.96,,,,,,,,,,
100.2779,,3.48,19.42,,,,,,,,,,
100.3454,,2.25,12.57,2,,,,,,,,,
100.3658,,4.96,27.69,2,,,,,,,,,
100.386,,4.95,27.65,2,,,,,,,,,
100.5586,,3.63,20.29,2,,,,,,,,,
100.6037,,2.6,14.55,2,,,,,,,,,
100.6233,,2.44,13.64,2,,,,,,,,,
100.6428,,2.24,12.51,2,,,,,,,,,
100.6509,,3.48,19.46,2,,,,,,,,,
100.7642,,2.84,15.85,2,,,,,,,,,
100.7791,,2.88,16.1,,,,,,,,,,
100.8487,,2.18,12.18,,,,,,,,,,
100.9054,,5.12,28.61,,,,,,,,,,
101.0834,,2.43,13.55,,,,,,,,,,
101.9301,,15.9,88.79,,,,,,,,,,
103.1231,,2.18,12.19,,,,,,,,,,
103.3198,,3.86,21.56,2,,,,,,,,,
115.9207,,5.87,32.8,,,,,,,,,,
117.9291,,2.33,13.01,,,,,,,,,,
120.0578,,3.33,18.57,,,,,,,,,,
125.5221,,2.71,15.15,2,,,,,,,,,
132.4196,,4.69,26.17,2,,,,,,,,,
135.424,,3.62,20.23,2,,,,,,,,,
142.7008,,4.07,22.75,2,,,,,,,,,
151.4502,,2.36,13.17,2,,,,,,,,,
159.8214,,3.64,20.35,,,,,,,,,,
162.7915,,3.23,18.02,,,,,,,,,,
174.7593,,2.29,12.77,2,,,,,,,,,
175.4686,,2.42,13.5,2,,,,,,,,,
184.0867,,3.34,18.66,,,,,,,,,,
185.8332,,3.43,19.18,,,,,,,,,,
203.4156,,3.44,19.21,2,,,,,,,,,
231.673,,2.39,13.34,2,,,,,,,,,
255.6547,,2.23,12.47,2,,,,,,,,,
258.2827,,5.33,29.79,,,,,,,,,,
261.4475,,3.56,19.89,2,,,,,,,,,
263.4858,,5.86,32.73,2,,,,,,,,,
271.7744,,3.22,18.01,,,,,,,,,,
311.574,,3.37,18.8,2,,,,,,,,,
328.1729,,3.03,16.94,,,,,,,,,,
354.1861,,3.88,21.69,,,,,,,,,,
372.2665,,6.32,35.29,,,,,,,,,,
402.5202,,4.26,23.8,2,,,,,,,,,
412.8779,,3.21,17.91,,,,,,,,,,
425.3225,,2.72,15.21,,,,,,,,,,
429.0496,,2.86,15.98,,,,,,,,,,
474.2816,,6.56,36.63,,,,,,,,,,
486.9429,,2.77,15.48,,,,,,,,,,
494.581,,5.18,28.95,,,,,,,,,,
518.3066,,2.86,15.96,,,,,,,,,,
519.4822,,2.83,15.79,,,,,,,,,,
528.3688,,2.33,13.03,,,,,,,,,,
574.0995,,2.29,12.79,,,,,,,,,,
576.4541,,2.43,13.57,,,,,,,,,,
604.7054,,3.5,19.54,,,,,,,,,,
614.9566,,2.87,16.02,,,,,,,,,,
629.2821,,3.16,17.64,,,,,,,,,,
650.3277,,2.92,16.3,,,,,,,,,,
681.6793,,3.05,17.03,,,,,,,,,,
705.918,,2.59,14.45,,,,,,,,,,
706.4678,,4.75,26.53,,,,,,,,,,
762.658,,3.79,21.18,,,,,,,,,,
763.8817,,2.3,12.85,,,,,,,,,,
789.5016,,3.65,20.37,,,,,,,,,,
790.819,,2.59,14.47,,,,,,,,,,
812.9047,,2.22,12.37,,,,,,,,,,
819.4083,,3.41,19.03,,,,,,,,,,
842.4435,,2.29,12.79,,,,,,,,,,
848.9013,,3.88,21.67,,,,,,,,,,
885.7151,,3.58,20,,,,,,,,,,
944.295,,5.34,29.81,,,,,,,,,,
973.4437,,2.97,16.57,,,,,,,,,,
976.0751,,4.01,22.39,,,,,,,,,,
995.4838,,3.07,17.17,,,,,,,,,,
1020.1373,,2.84,15.86,,,,,,,,,,
1064.4294,,3.09,17.26,,,,,,,,,,
1201.6853,,3.52,19.67,,,,,,,,,,
1203.2454,,2.28,12.72,,,,,,,,,,
1242.2302,,2.34,13.04,,,,,,,,,,
1257.0853,,2.94,16.44,,,,,,,,,,
1314.6394,,2.66,14.84,,,,,,,,,,
1323.5504,,2.88,16.09,,,,,,,,,,
1341.1563,,4.11,22.96,,,,,,,,,,
1396.4004,,2.89,16.15,,,,,,,,,,
1471.6024,,2.52,14.08,,,,,,,,,,
1505.5972,,4.88,27.24,,,,,,,,,,
1505.742,,3.44,19.22,,,,,,,,,,
1619.7454,,2.79,15.61,,,,,,,,,,
