m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.0751,,8.74,2.89,,,,,,,,,,
100.9521,,7.62,2.52,,,,,,,,,,
102.0559,,23.01,7.6,,,,,,,,,,
104.0422,,9.21,3.04,,,,,,,,,,
106.04,,6.83,2.26,,,,,,,,,,
112.0381,,13.59,4.49,,,,,,,,,,
117.9581,,6.74,2.23,,,,,,,,,,
121.0536,,11.66,3.85,,,,,,,,,,
123.0692,,23.03,7.61,,,,,,,,,,
127.0755,,12.31,4.06,,,,,,,,,,
128.035,,302.82,100,,,,,,,,,,
129.9523,,6.94,2.29,,,,,,,,,,
133.0487,,9.98,3.3,,,,,,,,,,
134.0591,,7.35,2.43,,,,,,,,,,
135.0647,,11.65,3.85,,,,,,,,,,
136.0372,,11.13,3.68,,,,,,,,,,
136.0459,,7.49,2.47,,,,,,,,,,
138.0423,,22.92,7.57,,,,,,,,,,
140.0531,,19.16,6.33,,,,,,,,,,
146.0458,,56.68,18.72,,,,,,,,,,
149.0418,,11.47,3.79,,,,,,,,,,
150.0539,,9.81,3.24,,,,,,,,,,
150.7323,,8.17,2.7,2,,,,,,,,,
158.1159,,13.99,4.62,,,,,,,,,,
158.9431,,5.45,1.8,,,,,,,,,,
159.0353,,5.43,1.79,,,,,,,,,,
163.0059,,5.86,1.94,,,,,,,,,,
163.9983,,7.86,2.6,,,,,,,,,,
164.0578,,21.02,6.94,,,,,,,,,,
171.0802,,6.45,2.13,,,,,,,,,,
177.1012,,19.63,6.48,,,,,,,,,,
177.9532,,10.14,3.35,,,,,,,,,,
180.0918,,5.48,1.81,,,,,,,,,,
189.1093,,6.82,2.25,,,,,,,,,,
197.013,,8.97,2.96,,,,,,,,,,
198.9862,,6.16,2.04,,,,,,,,,,
200.1648,,12.37,4.09,,,,,,,,,,
202.0069,,9.07,2.99,,,,,,,,,,
203.0831,,18.52,6.12,,,,,,,,,,
203.111,,5.89,1.94,,,,,,,,,,
204.0866,,5.67,1.87,,,,,,,,,,
205.1676,,6.81,2.25,,,,,,,,,,
209.1657,,21.04,6.95,,,,,,,,,,
211.175,,6.92,2.28,,,,,,,,,,
214.1801,,25.53,8.43,,,,,,,,,,
217.0926,,8.89,2.94,,,,,,,,,,
221.0939,,21.9,7.23,,,,,,,,,,
225.0947,,6.73,2.22,,,,,,,,,,
226.2988,,7.05,2.33,,,,,,,,,,
228.1247,,150.8,49.8,,,,,,,,,,
228.9698,,8.87,2.93,,,,,,,,,,
230.094,,10.79,3.56,,,,,,,,,,
233.0915,,17.65,5.83,,,,,,,,,,
242.0079,,7.79,2.57,,,,,,,,,,
244.0718,,6.7,2.21,,,,,,,,,,
247.1203,,6.21,2.05,,,,,,,,,,
267.2143,,6.7,2.21,,,,,,,,,,
270.2066,,6.87,2.27,,,,,,,,,,
270.227,,8.29,2.74,,,,,,,,,,
270.2438,,15.42,5.09,,,,,,,,,,
271.131,,110.11,36.36,,,,,,,,,,
272.1147,,170.68,56.36,,,,,,,,,,
284.7733,,9.12,3.01,,,,,,,,,,
294.8221,,5.57,1.84,,,,,,,,,,
295.3004,,6.87,2.27,,,,,,,,,,
296.1218,,5.61,1.85,,,,,,,,,,
297.1469,,10.62,3.51,,,,,,,,,,
299.5335,,8.88,2.93,2,,,,,,,,,
300.1899,,6.58,2.17,,,,,,,,,,
302.1889,,7.2,2.38,,,,,,,,,,
313.1761,,47.69,15.75,,,,,,,,,,
314.1363,,36.85,12.17,,,,,,,,,,
314.1606,,10.73,3.54,,,,,,,,,,
314.8198,,7.29,2.41,,,,,,,,,,
315.1196,,262.84,86.8,,,,,,,,,,
316.2111,,10.02,3.31,,,,,,,,,,
329.135,,10.56,3.49,,,,,,,,,,
333.835,,7.29,2.41,,,,,,,,,,
339.1564,,43.87,14.49,,,,,,,,,,
354.1679,,6.52,2.15,,,,,,,,,,
356.1803,,18.09,5.98,,,,,,,,,,
357.166,,145.91,48.18,1,,,,,,,,,
358.1618,,8.14,2.69,1,,,,,,,,,
364.6528,,7.44,2.46,,,,,,,,,,
382.158,,60.3,19.91,,,,,,,,,,
400.1723,,101.42,33.49,,,,,,,,,,
414.751,,8.72,2.88,,,,,,,,,,
444.1629,,29.87,9.86,,,,,,,,,,
447.2406,,10,3.3,,,,,,,,,,
577.9388,,8.05,2.66,,,,,,,,,,
601.0031,,6.87,2.27,,,,,,,,,,
605.5023,,5.59,1.85,,,,,,,,,,
685.5031,,5.57,1.84,,,,,,,,,,
1057.5405,,7.03,2.32,,,,,,,,,,
1066.359,,5.65,1.87,,,,,,,,,,
1162.5996,,7.78,2.57,,,,,,,,,,
1172.8399,,6.47,2.14,,,,,,,,,,
1212.8183,,12.61,4.16,,,,,,,,,,
1419.5114,,12.4,4.1,,,,,,,,,,
1591.1999,,6.88,2.27,,,,,,,,,,
