m/z,Species,Abund,Abund % ,Z,Sat,m/z (prod.),Diff (ppm),Formula & Ion Species,Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
105.0204,,21.25,0.03,,,,,,,,,,
106.0901,,16.97,0.03,,,,,,,,,,
107.0358,,199.08,0.3,,,,,,,,,,
108.0198,,205.35,0.31,,,,,,,,,,
110.9113,,13.36,0.02,,,,,,,,,,
112.9702,,14.44,0.02,,,,,,,,,,
112.985,,25.32,0.04,,,,,,,,,,
120.9687,,36.04,0.05,,,,,,,,,,
122.0578,,12.79,0.02,,,,,,,,,,
128.8481,,12.05,0.02,,,,,,,,,,
132.0316,,16.91,0.03,,,,,,,,,,
133.0152,,2211.04,3.36,1,,,,,,,,,
134.0156,,30.01,0.05,1,,,,,,,,,
136.9634,,140.24,0.21,,,,,,,,,,
138.9786,,28.37,0.04,,,,,,,,,,
146.9836,,50.65,0.08,,,,,,,,,,
149.9977,,19.02,0.03,,,,,,,,,,
150.0085,,15.38,0.02,,,,,,,,,,
150.042,,41996.46,63.87,1,,,,,,,,,
150.4621,,29,0.04,2,,,,,,,,,
150.8621,,13.8,0.02,,,,,,,,,,
150.979,,148.22,0.23,,,,,,,,,,
151.044,,401.34,0.61,1,,,,,,,,,
153.201,,12.78,0.02,,,,,,,,,,
158.8833,,24.29,0.04,,,,,,,,,,
158.9251,,65749.35,100,,,,,,,,,,
159.2999,,13.81,0.02,,,,,,,,,,
159.3318,,12.9,0.02,2,,,,,,,,,
159.3981,,18.46,0.03,2,,,,,,,,,
159.4551,,12.12,0.02,2,,,,,,,,,
159.5171,,17.24,0.03,2,,,,,,,,,
159.5588,,25.04,0.04,2,,,,,,,,,
159.5789,,13.1,0.02,2,,,,,,,,,
159.6093,,17.74,0.03,2,,,,,,,,,
159.8819,,16.16,0.02,,,,,,,,,,
159.9335,,30.45,0.05,,,,,,,,,,
160.0519,,29.82,0.05,,,,,,,,,,
160.9426,,16.42,0.02,,,,,,,,,,
161.0442,,19.68,0.03,,,,,,,,,,
162.008,,15.28,0.02,,,,,,,,,,
162.9801,,49,0.07,,,,,,,,,,
174.9794,,1330.29,2.02,,,,,,,,,,
176.0472,,12.64,0.02,,,,,,,,,,
176.9355,,525.87,0.8,,,,,,,,,,
179.0202,,22.3,0.03,,,,,,,,,,
179.4479,,12.89,0.02,2,,,,,,,,,
185.0453,,26.4,0.04,,,,,,,,,,
188.0539,,12.65,0.02,,,,,,,,,,
192.9902,,622.71,0.95,,,,,,,,,,
199.0067,,12.78,0.02,,,,,,,,,,
200.0554,,29.29,0.04,,,,,,,,,,
202.0338,,12.58,0.02,,,,,,,,,,
203.0566,,22.11,0.03,,,,,,,,,,
211.0006,,1692.87,2.57,1,,,,,,,,,
211.0533,,17.68,0.03,,,,,,,,,,
212.0004,,124.88,0.19,1,,,,,,,,,
216.0516,,82.63,0.13,,,,,,,,,,
226.9435,,19.26,0.03,,,,,,,,,,
228.0503,,77.16,0.12,,,,,,,,,,
230.0077,,822.96,1.25,,,,,,,,,,
230.9467,,13.03,0.02,,,,,,,,,,
242.947,,30.84,0.05,,,,,,,,,,
246.0629,,199.71,0.3,,,,,,,,,,
254.9446,,165.29,0.25,,,,,,,,,,
272.9563,,5528.29,8.41,1,,,,,,,,,
273.9597,,34.8,0.05,1,,,,,,,,,
276.04,,22.31,0.03,,,,,,,,,,
280.0208,,15.11,0.02,,,,,,,,,,
286.9699,,12.66,0.02,,,,,,,,,,
290.9669,,368.26,0.56,1,,,,,,,,,
291.9623,,21.32,0.03,1,,,,,,,,,
296.014,,28.25,0.04,,,,,,,,,,
301.0343,,127.81,0.19,,,,,,,,,,
302.0137,,21.93,0.03,,,,,,,,,,
307.8334,,14.6,0.02,,,,,,,,,,
308.0155,,24.09,0.04,,,,,,,,,,
319.0438,,52.08,0.08,,,,,,,,,,
325.9414,,16.02,0.02,,,,,,,,,,
326.0271,,119.24,0.18,,,,,,,,,,
344.0388,,4476.5,6.81,1,,,,,,,,,
344.1099,,13.25,0.02,,,,,,,,,,
344.1365,,16.21,0.02,,,,,,,,,,
345.0412,,57.9,0.09,1,,,,,,,,,
362.0492,,1635.05,2.49,1,,,,,,,,,
363.0512,,15.34,0.02,1,,,,,,,,,
381.008,,19.48,0.03,,,,,,,,,,
381.9811,,20.52,0.03,,,,,,,,,,
399.0079,,14.71,0.02,,,,,,,,,,
405.9951,,124.1,0.19,,,,,,,,,,
406.9745,,22.13,0.03,,,,,,,,,,
424.0045,,3709.59,5.64,1,,,,,,,,,
425.0078,,54.57,0.08,1,,,,,,,,,
442.0152,,486.32,0.74,,,,,,,,,,
451.1088,,14.05,0.02,,,,,,,,,,
479.9827,,32.54,0.05,,,,,,,,,,
551.4724,,13.47,0.02,,,,,,,,,,
607.6218,,12.62,0.02,,,,,,,,,,
637.9395,,12.73,0.02,,,,,,,,,,
804.0044,,11.73,0.02,,,,,,,,,,
1636.9023,,16.62,0.03,,,,,,,,,,
